,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
0,PA,0.009546077,0.008761623,-0.270022863,-0.299818565
1,PA,0.007272645,0.006485381,-0.196135148,-0.224406779
2,PA,0.007026312,0.006267789,-0.207605521,-0.237685317
3,PA,0.010221074,0.009444071,-0.293440811,-0.323045778
4,PA,0.009151596,0.008252965,-0.262950071,-0.293509206
5,PA,0.00891959,0.008134279,-0.255497567,-0.285555554
6,PA,0.009003071,0.008219055,-0.256443391,-0.286349205
7,PA,0.009228995,0.008443712,-0.268830548,-0.299263124
8,PA,0.008411293,0.007621383,-0.236708245,-0.266331657
9,PA,0.009655996,0.008859115,-0.274995566,-0.304737262
10,PA,0.009921248,0.009117683,-0.283585636,-0.313636362
11,PA,0.008615087,0.007837562,-0.245858548,-0.275892079
12,PA,0.009118189,0.008341981,-0.25874419,-0.288812784
13,PA,0.009389218,0.008494578,-0.260466486,-0.291784701
14,PA,0.008533982,0.007748547,-0.2425858,-0.272485009
15,PA,0.01326202,0.010724192,-0.317550411,-0.348078738
16,PA,0.010042697,0.008960847,-0.277822601,-0.308208569
17,PA,0.009424921,0.008655653,-0.26797384,-0.29783499
18,PA,0.009661853,0.008918459,-0.274382075,-0.304347825
19,PA,0.008921442,0.008134279,-0.256644284,-0.286663259
20,PA,0.009534124,0.008753145,-0.27183244,-0.301607318
21,PA,0.008506829,0.007621383,-0.241128607,-0.271683672
22,PA,0.009472219,0.008689563,-0.276356201,-0.306829288
23,PA,0.012998893,0.01041052,-0.316465482,-0.34775209
24,PA,0.014038424,0.011639776,-0.332377348,-0.36152976
25,PA,0.008149962,0.007464547,-0.223708612,-0.258003766
26,PA,0.011240901,0.010694521,-0.32253079,-0.355088924
27,PA,0.009421563,0.008604787,-0.270783884,-0.301601626
28,PA,0.009605737,0.00873619,-0.272504289,-0.303560601
29,PA,0.008669303,0.007888428,-0.249331668,-0.279457124
30,PA,0.009464967,0.008647175,-0.271442248,-0.301895964
31,PA,0.0092539,0.008464906,-0.264582693,-0.294778213
32,PA,0.009396719,0.00859207,-0.270150655,-0.300090668
33,PA,0.009129064,0.008346219,-0.261373603,-0.291257553
34,PA,0.009325835,0.008507294,-0.264470452,-0.294729992
35,PA,0.008951482,0.008168189,-0.256198746,-0.286215538
36,PA,0.01401416,0.009528848,-0.292814443,-0.325601409
37,PA,0.010212731,0.009143116,-0.277756725,-0.308481901
38,PA,0.011568999,0.009558519,-0.291986742,-0.324770641
39,PA,0.011406219,0.009850997,-0.306487101,-0.336335245
40,PA,0.011219421,0.010139236,-0.298502306,-0.327688611
41,PA,0.009662508,0.008748906,-0.271988119,-0.302659446
42,PA,0.0101982,0.009427116,-0.288746961,-0.318385649
43,PA,0.008885566,0.008117324,-0.255181389,-0.285488955
44,PA,0.009386111,0.008609026,-0.269467175,-0.299316811
45,PA,0.009586001,0.008405563,-0.269872542,-0.30127142
46,PA,0.010300784,0.009507654,-0.289239493,-0.319002534
47,PA,0.009350714,0.008587832,-0.267479292,-0.297331044
48,PA,0.008271659,0.007485741,-0.23619015,-0.266177858
49,PA,0.009886114,0.008952369,-0.278730919,-0.308878255
50,PC,0.004009222,0.003557041,-0.218488044,-0.2509925
51,PC,0.00399729,0.003543307,-0.215698692,-0.247804877
52,PC,0.003988876,0.003538729,-0.217855361,-0.25042493
53,PC,0.003815921,0.003363242,-0.199164845,-0.23035952
