,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
0,PA,0.00947519,0.008689563,-0.275121738,-0.305712491
1,PA,0.007283538,0.006493859,-0.199274434,-0.227974568
2,PA,0.007002271,0.006242356,-0.210791007,-0.241252301
3,PA,0.010158765,0.009380489,-0.29807146,-0.328571427
4,PA,0.009122479,0.008227533,-0.265886682,-0.296914305
5,PA,0.00888133,0.008096129,-0.259240322,-0.289875172
6,PA,0.008950792,0.00816395,-0.26052833,-0.291205211
7,PA,0.009183497,0.008397085,-0.272573285,-0.303725659
8,PA,0.008366813,0.007578994,-0.242102041,-0.272591485
9,PA,0.009591451,0.008791294,-0.279547672,-0.310119694
10,PA,0.009857759,0.009054101,-0.289211022,-0.320279719
11,PA,0.008579586,0.007803651,-0.249727081,-0.280343204
12,PA,0.009062446,0.008286876,-0.262998765,-0.293655983
13,PA,0.009336638,0.008447951,-0.266015016,-0.298113206
14,PA,0.008498244,0.007714636,-0.247211557,-0.277777777
15,PA,0.013106986,0.010618222,-0.32483903,-0.356311057
16,PA,0.009978751,0.008905742,-0.283934142,-0.315025906
17,PA,0.009355728,0.008587832,-0.2733638,-0.304073576
18,PA,0.009571365,0.008829444,-0.279439712,-0.310213595
19,PA,0.008881239,0.008096129,-0.260589954,-0.291309668
20,PA,0.009470547,0.008689563,-0.277774145,-0.308443422
21,PA,0.008456022,0.007578994,-0.245205732,-0.276335877
22,PA,0.00940918,0.00863022,-0.281986446,-0.313291138
23,PA,0.012875912,0.010338461,-0.322312153,-0.354389033
24,PA,0.013836868,0.011491417,-0.339141999,-0.369346732
25,PA,0.008106049,0.00741792,-0.22863844,-0.263795423
26,PA,0.011158626,0.010601267,-0.328710313,-0.362179486
27,PA,0.009364209,0.008545443,-0.275277552,-0.306789177
28,PA,0.009544027,0.008681085,-0.277553735,-0.309377246
29,PA,0.008631453,0.00784604,-0.254082346,-0.284923501
30,PA,0.009375644,0.008562399,-0.276176966,-0.30723574
31,PA,0.009212963,0.008422518,-0.268862668,-0.299772898
32,PA,0.009346872,0.008545443,-0.274871435,-0.305529946
33,PA,0.009066112,0.008286876,-0.267357934,-0.298132645
34,PA,0.009262308,0.008443712,-0.269556305,-0.300552485
35,PA,0.008886414,0.008104607,-0.260466748,-0.291100469
36,PA,0.013916304,0.009473743,-0.297498055,-0.330890051
37,PA,0.010134652,0.009071056,-0.283288675,-0.314718655
38,PA,0.011455121,0.009490698,-0.297564094,-0.331088663
39,PA,0.011296811,0.009761982,-0.311323619,-0.342253216
40,PA,0.011119869,0.01005446,-0.304693373,-0.334807932
41,PA,0.009604946,0.008698041,-0.277072128,-0.308387096
42,PA,0.010135677,0.009363534,-0.294075746,-0.324487483
43,PA,0.008844282,0.008074935,-0.259687228,-0.290684623
44,PA,0.009330403,0.008553921,-0.274350976,-0.305115751
45,PA,0.009519608,0.008354697,-0.274128125,-0.306150193
46,PA,0.010218306,0.009431355,-0.294693116,-0.325356649
47,PA,0.00928668,0.008524249,-0.271988524,-0.302686566
48,PA,0.008249127,0.007460308,-0.238839743,-0.269206745
49,PA,0.009809323,0.00888031,-0.284593142,-0.315621678
50,PC,0.003983757,0.003534151,-0.221910785,-0.255061916
51,PC,0.003988698,0.003534151,-0.218439952,-0.251117401
52,PC,0.003972102,0.003523469,-0.221231168,-0.254217895
53,PC,0.003806361,0.003354087,-0.201719639,-0.233128833
54,PC,0.004162345,0.00371269,-0.227893945,-0.260834883
55,PC,0.003996741,0.003544833,-0.220289139,-0.25319693
56,PC,0.004040744,0.003589086,-0.225344233,-0.25851766
57,PC,0.004068026,0.003552463,-0.221841806,-0.254949252
58,PC,0.004188757,0.00373558,-0.23520625,-0.269582908
59,PC,0.003974184,0.003524995,-0.219552588,-0.252640129
60,PC,0.003617596,0.003164866,-0.181916247,-0.211566617
61,PC,0.004267961,0.003819508,-0.245084582,-0.279376208
62,PC,0.004159244,0.00371269,-0.236428249,-0.270152504
63,PC,0.004520115,0.004083501,-0.266202229,-0.301369862
64,PC,0.004233781,0.003782885,-0.242242226,-0.27630285
65,PC,0.004141555,0.003691326,-0.235011792,-0.268817203
66,PC,0.0039465,0.003496002,-0.21721392,-0.249772243
67,PC,0.004095866,0.003647073,-0.23078625,-0.264284245
68,PC,0.003845722,0.003393762,-0.206036835,-0.237864809
69,PC,0.003918972,0.003467008,-0.214998156,-0.247543284
70,PC,0.004238616,0.003790515,-0.243026264,-0.277207391
71,PC,0.003942097,0.00349295,-0.217805445,-0.250457876
72,PC,0.004135303,0.003685222,-0.234065435,-0.26774733
73,PC,0.004076739,0.003627236,-0.229049673,-0.262643463
74,PC,0.004040928,0.003590612,-0.226326323,-0.25960419
75,PC,0.004371566,0.003923274,-0.255574457,-0.290524394
76,PC,0.004177279,0.003727187,-0.237380268,-0.271142109
77,PC,0.003917727,0.003467008,-0.213116798,-0.245416912
78,PC,0.003932274,0.003480742,-0.216301201,-0.249013587
79,PC,0.0040502,0.003599768,-0.228004025,-0.261436536
80,PC,0.004093689,0.003642495,-0.231242761,-0.264774178
81,PC,0.003884228,0.003431911,-0.210821086,-0.242988637
82,PC,0.005496345,0.005057071,-0.334030347,-0.36969699
83,PC,0.003996203,0.003544833,-0.223748397,-0.25684409
84,PC,0.004067261,0.003615028,-0.22785417,-0.261186738
85,PC,0.004558005,0.004104865,-0.271344419,-0.306883364
86,PC,0.004617187,0.004170482,-0.279767868,-0.31576746
87,PC,0.005303268,0.004873955,-0.329055754,-0.365339577
88,PC,0.005595552,0.005168467,-0.338231534,-0.373737394
89,PC,0.004627419,0.004181163,-0.277523013,-0.313124468
90,PC,0.004867645,0.004397851,-0.293931469,-0.329888711
91,PC,0.00414859,0.003674541,-0.232796885,-0.267194663
92,PC,0.004084651,0.003634865,-0.230799021,-0.264385305
93,PC,0.0039649,0.003512788,-0.21861566,-0.251339104
94,PC,0.003937602,0.003489898,-0.217723056,-0.25054089
95,PC,0.004030423,0.003581456,-0.217508077,-0.249731469
96,PC,0.005604169,0.005166941,-0.340124158,-0.375687695
97,PC,0.005158034,0.004724409,-0.311055707,-0.346753438
98,PC,0.00436865,0.003921748,-0.259236451,-0.294624368
99,PC,0.004077911,0.00362571,-0.228981861,-0.262433861
100,PE,0.004162153,0.00371269,-0.208252964,-0.238647342
101,PE,0.003948953,0.003497528,-0.192867957,-0.222175906
102,PE,0.003807969,0.003355613,-0.172002121,-0.199161425
103,PE,0.003706617,0.003253372,-0.160616817,-0.186700767
104,PE,0.00397157,0.003357138,-0.174146195,-0.203323557
105,PE,0.007883698,0.003991943,-0.213277977,-0.239672338
106,PE,0.004018503,0.003532625,-0.191496502,-0.220961853
107,PE,0.003683065,0.003230483,-0.157677975,-0.183333333
108,PE,0.003846871,0.003395288,-0.170069463,-0.197050663
109,PE,0.003916938,0.003465483,-0.176809543,-0.204084996
110,PE,0.004213743,0.003763047,-0.19879344,-0.227492739
111,PE,0.003834694,0.003355613,-0.172698725,-0.200587803
112,PE,0.003740283,0.00328847,-0.162331607,-0.188372092
113,PE,0.003885548,0.003438015,-0.177422597,-0.206521738
114,PE,0.003808009,0.003384606,-0.166821473,-0.195541177
115,PE,0.003916166,0.00347006,-0.177683173,-0.205529131
116,PE,0.003765547,0.003312885,-0.167096953,-0.193825658
117,PE,0.00369014,0.003239639,-0.15976523,-0.185729869
118,PE,0.004111578,0.003657755,-0.201873139,-0.231677323
119,PE,0.003752214,0.003300678,-0.165845477,-0.192407568
120,PE,0.003765829,0.003312885,-0.169134272,-0.195986412
121,PE,0.003904277,0.003453275,-0.179819663,-0.207598371
122,PE,0.003720827,0.003268632,-0.163465416,-0.189885057
123,PE,0.003932667,0.003480742,-0.195999128,-0.225835188
124,PE,0.003574927,0.003123665,-0.149386924,-0.174203113
125,PE,0.003796605,0.003332723,-0.162497353,-0.188729399
126,PE,0.003921093,0.003468534,-0.19089551,-0.220205834
127,PE,0.004191824,0.003744735,-0.213642208,-0.24426505
128,PE,0.003899454,0.003433437,-0.178981244,-0.207338666
129,PE,0.003869957,0.003422755,-0.186532207,-0.215339232
130,PE,0.003708515,0.003256424,-0.163970996,-0.190585798
131,PE,0.003872097,0.003419703,-0.177307699,-0.205043859
132,PE,0.003766899,0.003314411,-0.168357146,-0.195195194
133,PE,0.004006799,0.003550937,-0.191232614,-0.220447284
134,PE,0.004404193,0.003958371,-0.228214018,-0.260115606
135,PE,0.003859176,0.003407496,-0.177499425,-0.205291005
136,PE,0.003670552,0.003216749,-0.152382627,-0.177191906
137,PE,0.003772961,0.003320515,-0.166247123,-0.192796609
138,PE,0.003970745,0.003465483,-0.18237771,-0.211491139
139,PE,0.003721951,0.00327321,-0.163160914,-0.189376443
140,PE,0.003729016,0.003271684,-0.160829342,-0.187189004
141,PE,0.003670807,0.003216749,-0.159699023,-0.185714285
142,PE,0.004284732,0.003627236,-0.193611903,-0.225074626
143,PE,0.004420685,0.003560093,-0.192560386,-0.224212775
144,PE,0.00378036,0.003329671,-0.167525587,-0.194161229
145,PE,0.00369431,0.003241165,-0.159147086,-0.185060368
146,PE,0.003791077,0.003338827,-0.168559422,-0.195370207
147,PE,0.003881202,0.003401392,-0.182129824,-0.210891124
148,PE,0.003800545,0.003349509,-0.172809098,-0.200177148
149,PE,0.003980372,0.003471586,-0.18067916,-0.209334972
150,PP,0.003641827,0.003174022,-0.159546584,-0.188289322
151,PP,0.003872451,0.003418177,-0.201953778,-0.232916985
152,PP,0.00380113,0.003352561,-0.195253675,-0.226035502
153,PP,0.003811202,0.003358664,-0.198853968,-0.22991212
154,PP,0.004016634,0.003567723,-0.218874494,-0.251464853
155,PP,0.003863741,0.003410548,-0.203725403,-0.235008103
156,PP,0.003839661,0.003387658,-0.200419362,-0.23135135
157,PP,0.004000979,0.003552463,-0.219586089,-0.252072968
158,PP,0.003766972,0.003306781,-0.196425834,-0.227242076
159,PP,0.003682575,0.003227431,-0.180401152,-0.209586705
160,PP,0.00402375,0.003558567,-0.21748938,-0.249999999
161,PP,0.003950679,0.00348532,-0.2051799,-0.237008147
162,PP,0.00399662,0.003541781,-0.209604034,-0.242667643
163,PP,0.003903749,0.003454801,-0.204503115,-0.235858771
164,PP,0.003910547,0.003450223,-0.207230704,-0.239316238
165,PP,0.003999253,0.003547885,-0.209999706,-0.242516798
166,PP,0.003706373,0.003254898,-0.179345931,-0.208255159
167,PP,0.00387047,0.00336019,-0.194183254,-0.225851856
168,PP,0.00368071,0.003233535,-0.184199842,-0.213862846
169,PP,0.003746706,0.003294574,-0.190510565,-0.220588234
170,PP,0.003610938,0.003157236,-0.173174073,-0.201293974
171,PP,0.003690307,0.003233535,-0.179384155,-0.208459214
172,PP,0.004240531,0.003767625,-0.230851504,-0.265636496
173,PP,0.00408147,0.003604346,-0.217362315,-0.250701152
174,PP,0.003978719,0.003520418,-0.201115886,-0.232201023
175,PP,0.003704401,0.003224379,-0.177239273,-0.206642066
176,PP,0.004221703,0.003648599,-0.223800276,-0.259384368
177,PP,0.003893894,0.003444119,-0.199913514,-0.231008355
178,PP,0.003877728,0.003433437,-0.203620822,-0.23555003
179,PP,0.003799132,0.003279314,-0.184200854,-0.215094339
180,PP,0.003735158,0.003285418,-0.189490054,-0.219743993
181,PP,0.00373108,0.003282366,-0.185958991,-0.215953307
182,PP,0.003696424,0.003245743,-0.179923238,-0.208890752
183,PP,0.005325038,0.004089605,-0.256835749,-0.299133045
184,PP,0.003886409,0.003428859,-0.206447269,-0.238442821
185,PP,0.003944479,0.003489898,-0.21017526,-0.242067945
186,PP,0.003998992,0.003543307,-0.21160167,-0.243779687
187,PP,0.00551257,0.003698956,-0.211385286,-0.242817423
188,PP,0.003849401,0.003396814,-0.202672659,-0.2340192
189,PP,0.003823401,0.003376976,-0.198706923,-0.229604219
190,PP,0.003846719,0.003347983,-0.193259402,-0.224965706
191,PP,0.0037396,0.003289996,-0.184527689,-0.214027424
192,PP,0.003714315,0.003262528,-0.189576746,-0.219547775
193,PP,0.003819468,0.003366294,-0.198593536,-0.229383557
194,PP,0.004014881,0.003566197,-0.215520783,-0.247513165
195,PP,0.003920431,0.003468534,-0.210878477,-0.2427695
196,PP,0.004082131,0.00359519,-0.217025485,-0.251132465
197,PP,0.00393294,0.003482268,-0.211362222,-0.243107769
198,PP,0.004038905,0.003581456,-0.222069003,-0.255095737
199,PP,0.0038893,0.003373924,-0.18992421,-0.221785513
200,PS,0.00393969,0.003488372,-0.215931648,-0.248358861
201,PS,0.003918581,0.003467008,-0.210769186,-0.242798353
202,PS,0.004019028,0.003567723,-0.222461376,-0.255439542
203,PS,0.004057075,0.003540255,-0.223489525,-0.256889763
204,PS,0.003926523,0.003471586,-0.211875414,-0.244212204
205,PS,0.003807233,0.003355613,-0.197719714,-0.228758169
206,PS,0.004283033,0.003836294,-0.241988759,-0.275763746
207,PS,0.0040442,0.003593664,-0.222349572,-0.255185285
208,PS,0.003955787,0.003506684,-0.21794594,-0.250519534
209,PS,0.004776795,0.004112495,-0.258269827,-0.296553283
210,PS,0.003851032,0.003399866,-0.201847043,-0.232913997
211,PS,0.004020188,0.003569249,-0.220704639,-0.253376995
212,PS,0.004047123,0.003599768,-0.224206117,-0.257182421
213,PS,0.004027082,0.003570775,-0.219931889,-0.253075243
214,PS,0.003959293,0.003511262,-0.213269026,-0.245364851
215,PS,0.003940574,0.00348532,-0.210350266,-0.242157477
216,PS,0.00393864,0.003483794,-0.207984848,-0.239766081
217,PS,0.004121217,0.003669963,-0.228954319,-0.261931395
218,PS,0.004607087,0.004162852,-0.27374428,-0.309213699
219,PS,0.004352949,0.003908014,-0.253908125,-0.288908969
220,PS,0.00383356,0.003376976,-0.199034594,-0.230035756
221,PS,0.003991179,0.003540255,-0.220024321,-0.252894304
222,PS,0.003747065,0.003294574,-0.193032979,-0.223529411
223,PS,0.003974579,0.003521943,-0.218140005,-0.250768892
224,PS,0.003843757,0.003393762,-0.203771197,-0.235353534
225,PS,0.00401806,0.003569249,-0.221096818,-0.253825619
226,PS,0.004079652,0.003630287,-0.228540063,-0.26172591
227,PS,0.003888313,0.003436489,-0.20799356,-0.239935587
228,PS,0.003765222,0.003312885,-0.193991507,-0.224553839
229,PS,0.003793226,0.003338827,-0.1964842,-0.227459809
230,PS,0.004194543,0.003744735,-0.237477471,-0.271214641
231,PS,0.003857644,0.00340597,-0.205496933,-0.237168438
232,PS,0.003854638,0.003402918,-0.206058097,-0.237601349
233,PS,0.003819842,0.00336782,-0.200970281,-0.232028053
234,PS,0.004222833,0.003753891,-0.237703517,-0.271624898
235,PS,0.00391791,0.003462431,-0.210138418,-0.242174036
236,PS,0.00399554,0.003546359,-0.218695795,-0.251243093
237,PS,0.004069876,0.003619606,-0.224651289,-0.25743542
238,PS,0.003912881,0.003457853,-0.210069674,-0.242246813
239,PS,0.003928185,0.003468534,-0.210546771,-0.242548517
240,PS,0.00382351,0.003370872,-0.200275885,-0.231274638
241,PS,0.003833056,0.003381554,-0.201235924,-0.232369419
242,PS,0.003907404,0.003456327,-0.210972023,-0.242970741
243,PS,0.004052172,0.003604346,-0.227059461,-0.260297239
244,PS,0.004160729,0.003711164,-0.23452419,-0.26815728
245,PS,0.003925297,0.00347006,-0.210835515,-0.243046606
246,PS,0.004161298,0.003711164,-0.237692286,-0.271794871
247,PS,0.003924245,0.003467008,-0.210585414,-0.24297602
248,PS,0.004074393,0.003622658,-0.228501246,-0.261916713
249,PS,0.005805576,0.003535677,-0.208004666,-0.237744537
250,POM,0.020638331,0.020692181,-0.363008068,-0.391541608
251,POM,0.013797467,0.012848685,-0.299579293,-0.326833796
252,POM,0.013102422,0.012158945,-0.291460274,-0.31949017
253,POM,0.015582304,0.014698163,-0.329279463,-0.355393209
254,POM,0.01334962,0.012409205,-0.297399954,-0.325254792
255,POM,0.013956227,0.013007386,-0.302796887,-0.330009065
256,POM,0.012796803,0.011853751,-0.28740992,-0.315818892
257,POM,0.014245525,0.01331258,-0.310179253,-0.337392985
258,POM,0.013138379,0.012189465,-0.291780056,-0.319734828
259,POM,0.013770532,0.012866996,-0.300252205,-0.327814568
260,POM,0.013864875,0.012921931,-0.300741742,-0.328087642
261,POM,0.013406205,0.012458036,-0.294304084,-0.321862347
262,POM,0.014046441,0.012989074,-0.308216591,-0.335650446
263,POM,0.01208246,0.011133492,-0.27517797,-0.304022838
264,POM,0.013469979,0.012531282,-0.30055712,-0.328358208
265,POM,0.013747097,0.012830373,-0.299964136,-0.327731091
266,POM,0.014559596,0.013544528,-0.310203009,-0.336842104
267,POM,0.014242264,0.013306476,-0.30746635,-0.334332271
268,POM,0.012446964,0.011493621,-0.285921488,-0.314902224
269,POM,0.013459967,0.01246414,-0.297448114,-0.325287986
270,POM,0.012778719,0.011823231,-0.286724889,-0.315083198
271,POM,0.013333084,0.012360374,-0.296549366,-0.324927254
272,POM,0.013812326,0.011920894,-0.296260981,-0.323189287
273,POM,0.013318756,0.012378685,-0.295934666,-0.323888616
274,POM,0.013541317,0.012604529,-0.298878011,-0.326518339
275,POM,0.014634805,0.013697125,-0.317284499,-0.344410875
276,POM,0.012764101,0.0117744,-0.286098193,-0.315406161
277,POM,0.019942626,0.016981017,-0.333703677,-0.358223538
278,POM,0.01364288,0.012702191,-0.298601115,-0.326021933
279,POM,0.014619577,0.013526216,-0.31031849,-0.337169159
280,POM,0.013132318,0.012195569,-0.291536272,-0.319554848
281,POM,0.014674958,0.013715437,-0.315900222,-0.342517813
282,POM,0.012012159,0.011066349,-0.272251982,-0.301103281
283,POM,0.013559905,0.012635049,-0.302430853,-0.330270545
284,POM,0.012454999,0.011505829,-0.281490285,-0.310028891
285,POM,0.01254844,0.011603491,-0.28420765,-0.312855516
286,POM,0.012375768,0.011426479,-0.280841413,-0.309426821
287,POM,0.015325959,0.014106086,-0.315230423,-0.342857142
288,POM,0.014483859,0.013471281,-0.314555223,-0.342167164
289,POM,0.012111361,0.011157908,-0.275392361,-0.304265827
290,POM,0.012134027,0.011188427,-0.281078193,-0.310391826
291,POM,0.014628624,0.013697125,-0.320118399,-0.347457626
292,POM,0.014853299,0.013153879,-0.313011084,-0.342394144
