,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
112,PE,0.003625074,0.00164108,0.00317097,-0.011947619,0.275802808,-0.013868225
113,PE,0.003717245,0.00164459,0.003277788,-0.014052164,0.270243631,-0.017335766
114,PE,0.003667592,0.001650171,0.003238113,-0.012155057,0.274742547,-0.015460226
115,PE,0.003761212,0.001639097,0.003311359,-0.017230525,0.267357478,-0.020169161
116,PE,0.003634893,0.001640235,0.003181652,-0.011504464,0.275143197,-0.013057671
117,PE,0.003572746,0.001643262,0.003120613,-0.008768502,0.279291324,-0.010037641
118,PE,0.003945978,0.001638552,0.003494476,-0.016945378,0.256077934,-0.019636364
119,PE,0.003635691,0.001641392,0.003181652,-0.012535466,0.275089221,-0.014450867
120,PE,0.003617248,0.00164215,0.003164866,-0.010757086,0.276079339,-0.01242236
121,PE,0.003753878,0.001638658,0.003300678,-0.016082076,0.267475248,-0.018451806
122,PE,0.00358346,0.00163566,0.003131295,-0.010415075,0.277578846,-0.011928744
123,PE,0.003789513,0.001636463,0.003337301,-0.010236012,0.26519655,-0.011632421
124,PE,0.003522401,0.001643535,0.00306873,-0.008849878,0.282912396,-0.010165184
125,PE,0.003656164,0.001649628,0.003199963,-0.009870768,0.274181202,-0.011347518
126,PE,0.003774855,0.001631505,0.003323567,-0.009447463,0.265427421,-0.010624734
127,PE,0.004060473,0.001635253,0.003608924,-0.016839731,0.250554955,-0.019126743
128,PE,0.003758808,0.001664815,0.003297626,-0.013110639,0.268713075,-0.014956714
129,PE,0.003758434,0.001640509,0.003305255,-0.012957673,0.267530274,-0.014763397
130,PE,0.003583708,0.001641672,0.003129769,-0.007938838,0.278663184,-0.009021513
131,PE,0.003715673,0.001642631,0.003264054,-0.013598487,0.270364054,-0.015617605
132,PE,0.003613353,0.0016212,0.003164866,-0.011989726,0.273308351,-0.013813814
133,PE,0.003820845,0.001654798,0.00336782,-0.016097985,0.263166926,-0.018518518
134,PE,0.004176529,0.001640592,0.003741683,-0.022083592,0.244241033,-0.025462385
135,PE,0.00370369,0.001640024,0.00325032,-0.013924076,0.270670282,-0.016089109
136,PE,0.00357451,0.001641159,0.003120613,-0.010377565,0.278904421,-0.011834319
137,PE,0.003657557,0.001638568,0.003204541,-0.01373628,0.273508401,-0.015731244
138,PE,0.003835798,0.001771481,0.003338827,-0.015640569,0.265358102,-0.018553132
139,PE,0.003620259,0.001642143,0.003167918,-0.011506574,0.27629659,-0.013295176
140,PE,0.003610391,0.001648272,0.003157236,-0.011861177,0.277255846,-0.014105419
141,PE,0.003538933,0.00163606,0.003087041,-0.008839172,0.280520927,-0.01010101
142,PE,0.00407671,0.002165261,0.003459379,-0.021843366,0.25934803,-0.028482651
143,PE,0.004183962,0.002709066,0.003392236,-0.018427847,0.261066173,-0.025658125
144,PE,0.003652835,0.001638394,0.003201489,-0.014148657,0.273635086,-0.016371752
145,PE,0.003571682,0.001640137,0.003117561,-0.010668929,0.279139638,-0.012173384
146,PE,0.003662303,0.001634873,0.003210645,-0.014375795,0.272557694,-0.01658283
147,PE,0.003750877,0.001700818,0.003276262,-0.012315781,0.268827916,-0.014507772
148,PE,0.003655973,0.001640633,0.003203015,-0.012730106,0.273805765,-0.014445336
149,PE,0.003837997,0.001772566,0.003340353,-0.018037294,0.265061969,-0.021575514
150,PP,0.003578462,0.001703037,0.003116035,0.004190203,0.283298593,0.005081946
151,PP,0.003659497,0.001644251,0.003206067,0.004831643,0.274391367,0.00591716
152,PP,0.003616672,0.001645181,0.003164866,0.006352445,0.277368737,0.007708479
153,PP,0.003621953,0.001643504,0.003169444,0.00602881,0.27690539,0.007160804
154,PP,0.003769263,0.001632879,0.003320515,0.001915898,0.266121284,0.002586653
155,PP,0.003672269,0.001642167,0.003219801,0.004434937,0.273328994,0.005490196
156,PP,0.003639793,0.00164099,0.003187756,0.005245246,0.275161769,0.006497768
157,PP,0.003808458,0.001641187,0.003355613,0.000807379,0.264974013,0.001304632
158,PP,0.003621897,0.001658726,0.00316334,0.005860168,0.277329912,0.006993007
159,PP,0.003505212,0.001637094,0.00305347,0.006052576,0.282751316,0.007185629
160,PP,0.003799981,0.001660626,0.003338827,0.00155833,0.265797998,0.001834862
161,PP,0.003736965,0.001675652,0.00328084,0.002625193,0.270270941,0.003293963
162,PP,0.003744248,0.001662897,0.003297626,0.001854593,0.27015362,0.002517624
163,PP,0.003711136,0.001640908,0.003261002,0.001247247,0.270669577,0.001736614
164,PP,0.00371291,0.001660869,0.003259476,0.003470532,0.271480476,0.004096229
165,PP,0.003742903,0.001660425,0.003293048,0.000483197,0.26979924,0.000707714
166,PP,0.003541098,0.001642822,0.003088567,0.004269967,0.281585487,0.005187021
167,PP,0.003639766,0.001707765,0.00316334,0.00366631,0.277838626,0.0032881
