,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
563,SAN,-0.415532216,-0.439669461,0.160018936,1.481740448
564,SAN,-0.421196785,-0.44441152,0.155820778,1.450508465
565,SAN,-0.428495915,-0.451187333,0.152842621,1.429879462
566,SAN,-0.425567199,-0.447950473,0.152478238,1.437069902
567,SAN,-0.411395389,-0.436437796,0.163997325,1.489611979
568,SAN,-0.414737595,-0.438983636,0.160453783,1.470120728
569,SAN,-0.421684323,-0.445195118,0.15692899,1.439306972
570,SAN,-0.420995227,-0.444262849,0.156034191,1.459445565
571,SAN,-0.421625135,-0.444876025,0.156578053,1.471719331
572,SAN,-0.419376331,-0.443124998,0.157916962,1.457671661
573,SAN,-0.417085259,-0.441137564,0.159474783,1.478844881
574,SAN,-0.418416309,-0.441935482,0.157483996,1.467481812
575,SAN,-0.433639356,-0.454646632,0.146680433,1.386946037
576,SAN,-0.427369333,-0.448692169,0.148803562,1.408836392
577,SAN,-0.41058574,-0.43572395,0.164459181,1.498796507
578,SAN,-0.42054063,-0.44418529,0.15749407,1.465845416
579,SAN,-0.425708739,-0.448234246,0.152973239,1.4440034
580,SAN,-0.395657008,-0.421965316,0.171959778,1.528902469
581,SAN,-0.415579135,-0.439461882,0.159072574,1.471011948
582,SAN,-0.423411635,-0.446033816,0.153611409,1.457389915
583,SAN,-0.409350336,-0.434899327,0.166673725,1.496979744
584,SAN,-0.429285318,-0.450849361,0.149555837,1.419964832
585,SAN,-0.437930197,-0.457857603,0.143523485,1.389609686
586,SAN,-0.416443987,-0.44000002,0.157935595,1.454128738
587,SAN,-0.42375881,-0.44553817,0.150561509,1.446645469
588,SAN,-0.426730274,-0.44940476,0.15364533,1.438604461
589,SAN,-0.436152059,-0.455814519,0.142858272,1.377203227
590,SAN,-0.427375203,-0.449292451,0.151263751,1.430170195
591,SAN,-0.416206697,-0.440167948,0.158807832,1.476908023
592,SAN,-0.40045055,-0.426323317,0.169076462,1.509644526
593,SAN,-0.41819841,-0.44024952,0.152033409,1.435806854
594,SAN,-0.427466135,-0.449459999,0.151270075,1.437891262
595,SAN,-0.420932222,-0.443914468,0.155717584,1.451265567
596,SAN,-0.410941639,-0.435467669,0.161798089,1.477821461
597,SAN,-0.424595771,-0.447165173,0.15330781,1.456235355
598,SAN,-0.426978728,-0.448809173,0.15017512,1.425860534
599,SAN,-0.426380355,-0.44879969,0.152520993,1.432454985
