,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
0,PA,0.009546077,0.002834345,0.008761623,-0.270022863,0.205155134,-0.299818565
1,PA,0.007272645,0.002837481,0.006485381,-0.196135148,0.247945407,-0.224406779
2,PA,0.007026312,0.002757128,0.006267789,-0.207605521,0.251313635,-0.237685317
3,PA,0.010221074,0.002800906,0.009444071,-0.293440811,0.193953634,-0.323045778
4,PA,0.009151596,0.003186754,0.008252965,-0.262950071,0.211989954,-0.293509206
5,PA,0.00891959,0.002820468,0.008134279,-0.255497567,0.213719851,-0.285555554
6,PA,0.009003071,0.00282374,0.008219055,-0.256443391,0.2127787,-0.286349205
7,PA,0.009228995,0.002831371,0.008443712,-0.268830548,0.209471782,-0.299263124
8,PA,0.008411293,0.002833701,0.007621383,-0.236708245,0.223353714,-0.266331657
9,PA,0.009655996,0.002863087,0.008859115,-0.274995566,0.202409321,-0.304737262
10,PA,0.009921248,0.00289544,0.009117683,-0.283585636,0.199657829,-0.313636362
11,PA,0.008615087,0.002823492,0.007837562,-0.245858548,0.218918382,-0.275892079
12,PA,0.009118189,0.002835366,0.008341981,-0.25874419,0.210991939,-0.288812784
13,PA,0.009389218,0.003168108,0.008494578,-0.260466486,0.211387547,-0.291784701
14,PA,0.008533982,0.002825749,0.007748547,-0.2425858,0.220937973,-0.272485009
15,PA,0.01326202,0.007618236,0.010724192,-0.317550411,0.184336651,-0.348078738
16,PA,0.010042697,0.003432085,0.008960847,-0.277822601,0.20208985,-0.308208569
17,PA,0.009424921,0.002823624,0.008655653,-0.26797384,0.206010224,-0.29783499
18,PA,0.009661853,0.002810946,0.008918459,-0.274382075,0.202966449,-0.304347825
19,PA,0.008921442,0.002821074,0.008134279,-0.256644284,0.214095744,-0.286663259
20,PA,0.009534124,0.002821397,0.008753145,-0.27183244,0.204487212,-0.301607318
21,PA,0.008506829,0.003075054,0.007621383,-0.241128607,0.224957435,-0.271683672
22,PA,0.009472219,0.002804574,0.008689563,-0.276356201,0.205276304,-0.306829288
23,PA,0.012998893,0.006917593,0.01041052,-0.316465482,0.188195796,-0.34775209
24,PA,0.014038424,0.007937587,0.011639776,-0.332377348,0.176776119,-0.36152976
25,PA,0.008149962,0.003082455,0.007464547,-0.223708612,0.23914184,-0.258003766
26,PA,0.011240901,0.00331216,0.010694521,-0.32253079,0.188852588,-0.355088924
27,PA,0.009421563,0.002985485,0.008604787,-0.270783884,0.207385821,-0.301601626
28,PA,0.009605737,0.003235655,0.00873619,-0.272504289,0.207520601,-0.303560601
29,PA,0.008669303,0.002812734,0.007888428,-0.249331668,0.217627583,-0.279457124
30,PA,0.009464967,0.002916689,0.008647175,-0.271442248,0.207132894,-0.301895964
31,PA,0.0092539,0.002862778,0.008464906,-0.264582693,0.208093273,-0.294778213
32,PA,0.009396719,0.002873902,0.00859207,-0.270150655,0.205941009,-0.300090668
33,PA,0.009129064,0.002817732,0.008346219,-0.261373603,0.209815702,-0.291257553
34,PA,0.009325835,0.003033356,0.008507294,-0.264470452,0.208655859,-0.294729992
35,PA,0.008951482,0.002813863,0.008168189,-0.256198746,0.213014202,-0.286215538
36,PA,0.01401416,0.01768964,0.009528848,-0.292814443,0.20178374,-0.325601409
37,PA,0.010212731,0.004715179,0.009143116,-0.277756725,0.201396763,-0.308481901
38,PA,0.011568999,0.005993799,0.009558519,-0.291986742,0.201159262,-0.324770641
39,PA,0.011406219,0.005211205,0.009850997,-0.306487101,0.192074831,-0.336335245
40,PA,0.011219421,0.003757921,0.010139236,-0.298502306,0.188287325,-0.327688611
41,PA,0.009662508,0.003229997,0.008748906,-0.271988119,0.206525974,-0.302659446
42,PA,0.0101982,0.002806092,0.009427116,-0.288746961,0.194960711,-0.318385649
43,PA,0.008885566,0.002839921,0.008117324,-0.255181389,0.214783811,-0.285488955
44,PA,0.009386111,0.002804672,0.008609026,-0.269467175,0.205595557,-0.299316811
