,polymer,mean(ni),median(ni),standard_deviation(ni),variance(ni),iqr(ni),range(ni),mean(nid),median(nid),standard_deviation(nid),variance(nid),iqr(nid),range(nid)
146,PE,0.003773797,0.003322041,0.001637484,2.68E-06,0.00150766,0.029419215,-0.16783372,-0.194610184,0.270734337,0.073297081,0.349785598,1.760022506
147,PE,0.003829989,0.003355613,0.00170431,2.90E-06,0.00150766,0.032521516,-0.182564785,-0.211267605,0.266665608,0.071110547,0.342221301,1.751664084
148,PE,0.003785004,0.003332723,0.001637067,2.68E-06,0.001506134,0.029463468,-0.170463072,-0.197589842,0.27015633,0.072984443,0.348701384,1.755692693
149,PE,0.003963381,0.003454801,0.001822995,3.32E-06,0.001556491,0.02938717,-0.179761888,-0.208304002,0.263909911,0.069648441,0.338167351,1.743976116
150,PP,0.003628448,0.003161814,0.001720956,2.96E-06,0.001651102,0.030084539,-0.155804859,-0.183807808,0.289740134,0.083949345,0.385272072,1.832442578
151,PP,0.003837101,0.00338308,0.001643776,2.70E-06,0.001518342,0.029339864,-0.194470707,-0.224544241,0.269637356,0.072704304,0.348252487,1.742456729
152,PP,0.003779016,0.003329671,0.001643321,2.70E-06,0.001516816,0.02945126,-0.188180483,-0.217844296,0.273081813,0.074573677,0.354171298,1.758279549
153,PP,0.003749419,0.003302204,0.001621973,2.63E-06,0.001492401,0.029107917,-0.19350313,-0.223779237,0.271949865,0.073956729,0.352294068,1.757517197
154,PP,0.003980978,0.003532625,0.001637869,2.68E-06,0.001510712,0.029512299,-0.212568637,-0.244399184,0.262120312,0.068707058,0.33525174,1.743891521
155,PP,0.00383328,0.003381554,0.001637526,2.68E-06,0.00150766,0.029524507,-0.196667389,-0.227034922,0.269249067,0.07249506,0.347366315,1.746594946
156,PP,0.003813538,0.003361716,0.001640423,2.69E-06,0.001512238,0.02949704,-0.192611222,-0.22245614,0.270562082,0.07320384,0.349794133,1.750466411
157,PP,0.003994598,0.003543307,0.001636823,2.68E-06,0.00150766,0.02945889,-0.212048305,-0.243508888,0.260952821,0.068096375,0.333156849,1.734361521
158,PP,0.003770624,0.003308307,0.001664575,2.77E-06,0.001561069,0.029376488,-0.188607405,-0.218402961,0.273797784,0.074965226,0.355506755,1.760321598
159,PP,0.003660997,0.003206067,0.0016498,2.72E-06,0.001532076,0.02945889,-0.174123814,-0.202284928,0.279314163,0.078016401,0.365083703,1.773204552
160,PP,0.003995035,0.003529573,0.001677944,2.82E-06,0.001525972,0.029429897,-0.210028708,-0.241686942,0.262380212,0.068843376,0.335847433,1.74443874
161,PP,0.003923936,0.003459379,0.001697132,2.88E-06,0.001622108,0.029431423,-0.199060621,-0.230090441,0.266555912,0.071052054,0.342821098,1.758102139
162,PP,0.003956153,0.003503632,0.001697097,2.88E-06,0.001611426,0.029423793,-0.203799323,-0.236230666,0.267010513,0.071294614,0.344349702,1.751808391
163,PP,0.003874931,0.003425807,0.001639077,2.69E-06,0.001512238,0.029501618,-0.198688713,-0.229297838,0.267134869,0.071361038,0.343709802,1.746779033
164,PP,0.003884467,0.003425807,0.001671716,2.79E-06,0.001583959,0.02936428,-0.201151123,-0.232486679,0.268281914,0.071975186,0.34584148,1.75585009
165,PP,0.003927842,0.003479216,0.001662974,2.77E-06,0.001576329,0.029258988,-0.205247566,-0.237034026,0.264484978,0.069952304,0.339262505,1.754896428
166,PP,0.003684478,0.003232009,0.001643904,2.70E-06,0.001518342,0.029353598,-0.172616665,-0.200347297,0.277448623,0.076977738,0.362132926,1.766271083
167,PP,0.003842823,0.003337301,0.001787016,3.19E-06,0.001643472,0.030598791,-0.187402837,-0.218005384,0.274308366,0.07524508,0.357885172,1.7503603
168,PP,0.00366775,0.003219801,0.001644126,2.70E-06,0.001521394,0.029355124,-0.176283279,-0.204878048,0.278894638,0.077782219,0.364598421,1.77143314
169,PP,0.003724368,0.00327321,0.001638978,2.69E-06,0.00150766,0.029382592,-0.183473145,-0.212662534,0.27558021,0.075944452,0.358762169,1.774589231
170,PP,0.00359461,0.00314045,0.00164424,2.70E-06,0.001518342,0.029320027,-0.166339818,-0.193548386,0.282908675,0.080037318,0.371712667,1.781172027
171,PP,0.003665531,0.003209119,0.001654684,2.74E-06,0.001539706,0.029587072,-0.173625599,-0.201904761,0.279065051,0.077877302,0.364894861,1.77338322
172,PP,0.004201771,0.003731002,0.001770835,3.14E-06,0.001675517,0.029237624,-0.222933461,-0.2568306,0.256516349,0.065800638,0.325905901,1.728736669
173,PP,0.004044397,0.003572301,0.001720855,2.96E-06,0.00164805,0.029268144,-0.210676796,-0.243119265,0.262734696,0.069029521,0.337082708,1.748756966
174,PP,0.003949629,0.003491424,0.001675244,2.81E-06,0.001587011,0.029442105,-0.19600661,-0.226333699,0.264206771,0.069805218,0.338925036,1.743155377
175,PP,0.003679717,0.003201489,0.001702596,2.90E-06,0.001602271,0.029593176,-0.170453963,-0.198679141,0.28107908,0.079005449,0.369318245,1.778915201
176,PP,0.004154371,0.00359519,0.001898324,3.60E-06,0.001905939,0.04837484,-0.217162373,-0.251908396,0.262720265,0.069021938,0.337515851,1.762982079
177,PP,0.003868299,0.003418177,0.001654971,2.74E-06,0.001554966,0.02924678,-0.194689491,-0.224971664,0.26801213,0.071830502,0.345275689,1.756549782
178,PP,0.003860862,0.003415125,0.001656267,2.74E-06,0.001570225,0.029414637,-0.196173137,-0.227107704,0.269335897,0.072541826,0.34798467,1.754716918
179,PP,0.003767828,0.003253372,0.001853557,3.44E-06,0.001590063,0.029510773,-0.176645471,-0.206459053,0.27879747,0.077728029,0.365648234,1.769193869
180,PP,0.003721497,0.003270158,0.001636025,2.68E-06,0.001501556,0.029411585,-0.182382558,-0.211608222,0.275591867,0.075950877,0.35844555,1.770245869
181,PP,0.003722108,0.00327321,0.001652253,2.73E-06,0.00153055,0.029635903,-0.180157567,-0.209176787,0.276243176,0.076310292,0.35996877,1.762782674
