,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
0,PA,0.00947519,0.002825225,0.008689563,-0.275121738,0.20587712,-0.305712491
1,PA,0.007283538,0.002846522,0.006493859,-0.199274434,0.248428772,-0.227974568
2,PA,0.007002271,0.002757011,0.006242356,-0.210791007,0.252102537,-0.241252301
3,PA,0.010158765,0.00280925,0.009380489,-0.29807146,0.195420091,-0.328571427
4,PA,0.009122479,0.003178087,0.008227533,-0.265886682,0.21296183,-0.296914305
5,PA,0.00888133,0.002826924,0.008096129,-0.259240322,0.214929669,-0.289875172
6,PA,0.008950792,0.002825076,0.00816395,-0.26052833,0.213915258,-0.291205211
7,PA,0.009183497,0.002834403,0.008397085,-0.272573285,0.210462213,-0.303725659
8,PA,0.008366813,0.002832701,0.007578994,-0.242102041,0.224331999,-0.272591485
9,PA,0.009591451,0.002861152,0.008791294,-0.279547672,0.203402684,-0.310119694
10,PA,0.009857759,0.002897799,0.009054101,-0.289211022,0.200967827,-0.320279719
11,PA,0.008579586,0.00282537,0.007803651,-0.249727081,0.219754398,-0.280343204
12,PA,0.009062446,0.002835256,0.008286876,-0.262998765,0.212098137,-0.293655983
13,PA,0.009336638,0.003155572,0.008447951,-0.266015016,0.21283302,-0.298113206
14,PA,0.008498244,0.002826979,0.007714636,-0.247211557,0.221843502,-0.277777777
15,PA,0.013106986,0.007475925,0.010618222,-0.32483903,0.186251091,-0.356311057
16,PA,0.009978751,0.003407984,0.008905742,-0.283934142,0.203303471,-0.315025906
17,PA,0.009355728,0.002825723,0.008587832,-0.2733638,0.207400289,-0.304073576
18,PA,0.009571365,0.00280649,0.008829444,-0.279439712,0.204211651,-0.310213595
19,PA,0.008881239,0.002825841,0.008096129,-0.260589954,0.215192129,-0.291309668
20,PA,0.009470547,0.00282366,0.008689563,-0.277774145,0.205726804,-0.308443422
21,PA,0.008456022,0.003065333,0.007578994,-0.245205732,0.225991932,-0.276335877
22,PA,0.00940918,0.002802188,0.00863022,-0.281986446,0.206375872,-0.313291138
23,PA,0.012875912,0.00680468,0.010338461,-0.322312153,0.189543051,-0.354389033
24,PA,0.013836868,0.007766529,0.011491417,-0.339141999,0.177862506,-0.369346732
25,PA,0.008106049,0.003071631,0.00741792,-0.22863844,0.240203171,-0.263795423
26,PA,0.011158626,0.003288039,0.010601267,-0.328710313,0.190146853,-0.362179486
27,PA,0.009364209,0.002983345,0.008545443,-0.275277552,0.208688255,-0.306789177
28,PA,0.009544027,0.00322337,0.008681085,-0.277553735,0.208668171,-0.309377246
29,PA,0.008631453,0.002816375,0.00784604,-0.254082346,0.218754092,-0.284923501
30,PA,0.009375644,0.002902453,0.008562399,-0.276176966,0.2080837,-0.30723574
31,PA,0.009212963,0.002867013,0.008422518,-0.268862668,0.209433573,-0.299772898
32,PA,0.009346872,0.002875283,0.008545443,-0.274871435,0.206927085,-0.305529946
33,PA,0.009066112,0.002814378,0.008286876,-0.267357934,0.210869761,-0.298132645
34,PA,0.009262308,0.003023683,0.008443712,-0.269556305,0.209866618,-0.300552485
35,PA,0.008886414,0.002810412,0.008104607,-0.260466748,0.213930215,-0.291100469
36,PA,0.013916304,0.017595336,0.009473743,-0.297498055,0.203263375,-0.330890051
37,PA,0.010134652,0.004646408,0.009071056,-0.283288675,0.202619058,-0.314718655
38,PA,0.011455121,0.005882424,0.009490698,-0.297564094,0.202015561,-0.331088663
39,PA,0.011296811,0.005143642,0.009761982,-0.311323619,0.193285358,-0.342253216
40,PA,0.011119869,0.00371612,0.01005446,-0.304693373,0.189495066,-0.334807932
41,PA,0.009604946,0.003217615,0.008698041,-0.277072128,0.207589846,-0.308387096
42,PA,0.010135677,0.002805959,0.009363534,-0.294075746,0.195935576,-0.324487483
43,PA,0.008844282,0.002840853,0.008074935,-0.259687228,0.215798921,-0.290684623
44,PA,0.009330403,0.00280713,0.008553921,-0.274350976,0.206828819,-0.305115751
