,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
61,PC,-0.040097886,-0.045482529,0.276146528,1.671848383
62,PC,-0.037726938,-0.04299363,0.287084725,1.680288596
63,PC,-0.043405266,-0.048859935,0.254137148,1.633511023
64,PC,-0.040487311,-0.045887839,0.27640279,1.656796428
65,PC,-0.03811882,-0.04366515,0.292465582,1.682879545
66,PC,-0.037903648,-0.043708609,0.307499414,1.718957099
67,PC,-0.039197209,-0.044585987,0.290334957,1.689925321
68,PC,-0.038375466,-0.044660194,0.323566737,1.738937318
69,PC,-0.038738557,-0.044837515,0.314471205,1.717982902
70,PC,-0.038646798,-0.043921719,0.280766695,1.667182674
71,PC,-0.038876987,-0.044925965,0.310913971,1.716324556
72,PC,-0.037481483,-0.04276372,0.290634088,1.696239994
73,PC,-0.038158233,-0.043724125,0.300109467,1.704852151
74,PC,-0.038551189,-0.044257865,0.298882639,1.700932116
75,PC,-0.041201933,-0.046802151,0.269940068,1.646678605
76,PC,-0.038388323,-0.043886507,0.292065522,1.688575884
77,PC,-0.040298552,-0.046301864,0.310187253,1.718324553
78,PC,-0.039071454,-0.045196272,0.318322766,1.725910332
79,PC,-0.037419966,-0.043037975,0.302815564,1.706007236
80,PC,-0.038412571,-0.044236472,0.29979516,1.701689808
81,PC,-0.038055921,-0.044365658,0.319469957,1.733591603
82,PC,-0.065878035,-0.071367154,0.205577657,1.488904089
83,PC,-0.040489072,-0.046760805,0.30439004,1.710492344
84,PC,-0.038506828,-0.044205496,0.29996168,1.697135761
85,PC,-0.048598881,-0.054578813,0.253183562,1.620065272
86,PC,-0.050429542,-0.056632459,0.260110267,1.638409982
87,PC,-0.068206875,-0.073722305,0.213659099,1.542114738
88,PC,-0.066343425,-0.072052989,0.204550083,1.496957689
89,PC,-0.048941587,-0.054693877,0.249079925,1.614159875
90,PC,-0.053329805,-0.05949421,0.237857947,1.593759671
91,PC,-0.038295034,-0.043627816,0.291893238,1.693921753
92,PC,-0.037871516,-0.043478261,0.297105423,1.690114919
93,PC,-0.036873535,-0.042677418,0.311786481,1.70934972
94,PC,-0.037834229,-0.043921319,0.308177634,1.717620762
95,PC,-0.037442609,-0.043093222,0.306575147,1.71394819
96,PC,-0.067541454,-0.073070794,0.206074306,1.499317216
97,PC,-0.056308373,-0.062158842,0.229873849,1.582006987
98,PC,-0.045821768,-0.052049447,0.277536293,1.665585336
99,PC,-0.038599129,-0.044257146,0.294488503,1.690103756
100,PE,-0.030520326,-0.034863945,0.280742573,1.67851114
101,PE,-0.033852203,-0.03917176,0.308608926,1.715221807
102,PE,-0.028655899,-0.033272616,0.317366434,1.725951498
103,PE,-0.026696067,-0.031038274,0.331034582,1.738292431
104,PE,-0.027329507,-0.028985507,0.313435798,1.732156763
105,PE,-0.032750972,-0.020523139,0.24293548,1.67184412
106,PE,-0.028777434,-0.032967033,0.300602258,1.709254195
107,PE,-0.026183377,-0.030794858,0.338169629,1.746227293
108,PE,-0.02537893,-0.029146261,0.314040538,1.72515982
109,PE,-0.023867113,-0.027615893,0.304869843,1.70525885
110,PE,-0.022522145,-0.025469019,0.277995467,1.66733312
111,PE,-0.02719456,-0.03075847,0.315923656,1.730855752
112,PE,-0.025487119,-0.029626032,0.327396456,1.728436783
113,PE,-0.026759673,-0.030013346,0.308602892,1.730978673
114,PE,-0.025115792,-0.028587697,0.320439681,1.74218854
115,PE,-0.024102672,-0.027533685,0.307256222,1.71417396
116,PE,-0.026687932,-0.031175994,0.322637853,1.724828661
117,PE,-0.026900345,-0.031616983,0.332794154,1.74029691
118,PE,-0.02921961,-0.033415406,0.291959539,1.68556755
119,PE,-0.024847561,-0.028943133,0.324352849,1.730035224
120,PE,-0.028535607,-0.033105623,0.317580211,1.724613935
121,PE,-0.024820071,-0.028741328,0.302919792,1.698554965
122,PE,-0.026981031,-0.031455263,0.325947714,1.7347855
123,PE,-0.033956011,-0.039145907,0.304699493,1.707684364
124,PE,-0.025361185,-0.029745808,0.349934785,1.757942584
125,PE,-0.030653889,-0.035693719,0.349300048,1.745419232
126,PE,-0.036647124,-0.04235558,0.310061505,1.711384838
127,PE,-0.034237468,-0.038974106,0.285360368,1.681113548
128,PE,-0.028275252,-0.033036516,0.309136349,1.719318794
129,PE,-0.030990624,-0.035690879,0.30509547,1.702703719
130,PE,-0.029486082,-0.034324943,0.326166976,1.734545212
131,PE,-0.027012967,-0.031394513,0.307127241,1.707824822
132,PE,-0.026282027,-0.030674847,0.322575744,1.728446723
133,PE,-0.028082802,-0.032201915,0.29842314,1.718390542
134,PE,-0.03061131,-0.035227273,0.262539759,1.662420986
135,PE,-0.025990066,-0.029996508,0.307682381,1.717410155
136,PE,-0.025109229,-0.029508197,0.338140071,1.748248328
137,PE,-0.025363373,-0.029513293,0.323227098,1.728166077
138,PE,-0.027628975,-0.031538088,0.310243082,1.722624726
139,PE,-0.025197678,-0.029183818,0.325302184,1.733721697
140,PE,-0.024796511,-0.028407723,0.325178796,1.739011834
141,PE,-0.027210817,-0.03182018,0.330289823,1.734802549
142,PE,-0.023920444,-0.023866668,0.286373304,1.69270252
143,PE,-0.025848167,-0.026256673,0.287541056,1.69693983
144,PE,-0.024666102,-0.028846154,0.319823634,1.725975748
145,PE,-0.025934062,-0.030328095,0.327403551,1.734022291
146,PE,-0.024679801,-0.028616759,0.32010266,1.73252742
147,PE,-0.029907059,-0.034101845,0.314933832,1.725900702
148,PE,-0.026822429,-0.031036297,0.312442384,1.711364301
149,PE,-0.023718485,-0.026962012,0.307484208,1.716445174
150,PP,-0.040104261,-0.048010974,0.36090137,1.825886782
151,PP,-0.052126279,-0.059602649,0.291750708,1.693574039
152,PP,-0.051782966,-0.059721028,0.30814669,1.719357595
153,PP,-0.053092968,-0.061124694,0.305669189,1.711934656
154,PP,-0.052998888,-0.060340381,0.283623508,1.673760229
155,PP,-0.051470415,-0.05928579,0.301622108,1.695513007
156,PP,-0.05075917,-0.058295964,0.303429383,1.708875133
157,PP,-0.049139061,-0.056169633,0.288560412,1.68418005
158,PP,-0.050646038,-0.057991513,0.313009264,1.718816064
159,PP,-0.047083613,-0.054187192,0.321159772,1.729721116
160,PP,-0.051406693,-0.058040313,0.288438127,1.687152837
161,PP,-0.047452968,-0.054836997,0.293724673,1.712295885
162,PP,-0.050369899,-0.058769513,0.281794161,1.696227026
163,PP,-0.04557685,-0.052237404,0.297807364,1.696050303
164,PP,-0.050743862,-0.05760576,0.296856882,1.70491124
165,PP,-0.047154625,-0.053809397,0.278541907,1.697779509
166,PP,-0.042440862,-0.049372009,0.319675249,1.731758913
167,PP,-0.048137621,-0.053744021,0.29591084,1.717419179
168,PP,-0.049717638,-0.057546419,0.316818392,1.729150829
169,PP,-0.0509144,-0.058870485,0.314296188,1.723478292
170,PP,-0.048707991,-0.056658952,0.337133767,1.745391292
171,PP,-0.047891083,-0.055001309,0.322225966,1.729337464
172,PP,-0.050577313,-0.058142484,0.263367639,1.69673631
173,PP,-0.049521555,-0.056829458,0.276387717,1.681199417
174,PP,-0.038856625,-0.044923947,0.288664184,1.709227094
175,PP,-0.045110307,-0.05160336,0.320961349,1.741847962
176,PP,-0.05289458,-0.060755336,0.268326127,1.705838555
177,PP,-0.044865236,-0.051162791,0.298031498,1.708603493
178,PP,-0.048714383,-0.055281024,0.295504633,1.701579729
179,PP,-0.047863952,-0.055830042,0.31211145,1.724658602
180,PP,-0.049865919,-0.057616802,0.313727455,1.722784183
181,PP,-0.045493964,-0.053401964,0.335325806,1.754509226
182,PP,-0.043246501,-0.050269994,0.324778184,1.734494792
183,PP,-0.046215396,-0.043653175,0.233473124,1.658741448
184,PP,-0.052515495,-0.05999307,0.294823147,1.691775686
185,PP,-0.051070885,-0.058645397,0.29160602,1.699217252
186,PP,-0.046852083,-0.053346595,0.287738077,1.690729125
187,PP,-0.039498528,-0.032929982,0.26287328,1.710089088
188,PP,-0.052753353,-0.06060606,0.302660169,1.706796283
189,PP,-0.049485465,-0.056957274,0.296920851,1.698178226
190,PP,-0.049187586,-0.05582357,0.298243591,1.718434582
191,PP,-0.045617737,-0.052478647,0.313454396,1.730003409
192,PP,-0.050905887,-0.059016393,0.318239573,1.724019317
193,PP,-0.048754003,-0.056179775,0.313617182,1.708823492
194,PP,-0.045299534,-0.051591657,0.28983196,1.694364238
195,PP,-0.051522096,-0.059142457,0.294670765,1.690730747
196,PP,-0.049199612,-0.056814695,0.284428992,1.722434981
197,PP,-0.049465823,-0.056701031,0.295895561,1.70146465
198,PP,-0.051379695,-0.058150619,0.282457911,1.681981313
199,PP,-0.043874129,-0.050847457,0.30363795,1.729746958
200,PS,-0.056100991,-0.06473556,0.314271435,1.716405614
201,PS,-0.052413419,-0.060338188,0.310079828,1.716536378
202,PS,-0.055249449,-0.063432041,0.300021391,1.702787916
203,PS,-0.053119304,-0.061728395,0.298105967,1.708324777
204,PS,-0.051359185,-0.059154929,0.308767699,1.70797109
205,PS,-0.049644344,-0.057724491,0.326052896,1.73828794
206,PS,-0.051322693,-0.058455767,0.2795969,1.670981027
207,PS,-0.050224465,-0.057834898,0.292268271,1.690119005
208,PS,-0.051233873,-0.059014618,0.308037865,1.71271754
209,PS,-0.04777516,-0.047290794,0.244470324,1.665020777
210,PS,-0.047244717,-0.054747351,0.317994113,1.725568819
211,PS,-0.051422665,-0.059233449,0.301769531,1.703233744
212,PS,-0.050685383,-0.058496786,0.297360911,1.697195701
213,PS,-0.050553357,-0.057305691,0.298296483,1.70460818
214,PS,-0.049987854,-0.057610673,0.306081956,1.713025926
215,PS,-0.049315699,-0.05691716,0.31249208,1.728512364
216,PS,-0.048270351,-0.056119722,0.310052287,1.719051457
217,PS,-0.05043355,-0.057734036,0.292075757,1.685643328
218,PS,-0.059890745,-0.06677141,0.248336538,1.609328075
219,PS,-0.056798059,-0.064176245,0.276637395,1.69435888
220,PS,-0.05179064,-0.060587882,0.342732621,1.745329141
221,PS,-0.053962638,-0.062281008,0.30740786,1.699606542
222,PS,-0.051319687,-0.059859155,0.33387987,1.749079534
223,PS,-0.051985553,-0.059916396,0.312615989,1.72081002
224,PS,-0.04930416,-0.057368772,0.316253635,1.722608507
225,PS,-0.049700383,-0.056952963,0.299886909,1.708796691
226,PS,-0.053837612,-0.061728395,0.291235798,1.694247172
227,PS,-0.050008913,-0.057794677,0.316921908,1.720284279
228,PS,-0.048397492,-0.056471764,0.329560654,1.73067209
229,PS,-0.047429622,-0.055314533,0.325399303,1.738231168
230,PS,-0.052367469,-0.059550336,0.274633685,1.66601756
231,PS,-0.049876674,-0.057835639,0.320462265,1.733037943
232,PS,-0.050337089,-0.05834464,0.320107958,1.724450783
233,PS,-0.049605987,-0.057573753,0.323176505,1.727607304
234,PS,-0.047872704,-0.053352456,0.268360151,1.675434257
235,PS,-0.049541947,-0.056910569,0.310437258,1.723739805
236,PS,-0.049051803,-0.05628943,0.300726707,1.706045115
237,PS,-0.04987671,-0.057423033,0.29535409,1.69257748
238,PS,-0.048471407,-0.055513276,0.310360085,1.716120401
239,PS,-0.048569003,-0.056393076,0.307168292,1.7111043
240,PS,-0.048180263,-0.055847255,0.324260677,1.721676978
241,PS,-0.04712812,-0.05443787,0.319095599,1.738007089
242,PS,-0.04999546,-0.057897695,0.31293209,1.725592745
243,PS,-0.051637066,-0.059288537,0.295593557,1.697456811
244,PS,-0.051391313,-0.058707932,0.290385865,1.685045829
245,PS,-0.054433308,-0.063322626,0.325466815,1.733411739
246,PS,-0.056273995,-0.064320311,0.290054591,1.686310777
247,PS,-0.050644867,-0.058109878,0.311657878,1.722160057
248,PS,-0.054096952,-0.062087549,0.298716648,1.697162787
249,PS,-0.048714455,-0.045695205,0.288815679,1.732244895
250,POM,-0.02796948,-0.029528087,0.155163879,1.519312612
251,POM,-0.013116275,-0.013118917,0.182109515,1.560232644
252,POM,-0.015297733,-0.015549077,0.186385043,1.571747645
253,POM,-0.020082588,-0.019854401,0.158471612,1.428130626
254,POM,-0.015027713,-0.015274492,0.184830018,1.565556829
255,POM,-0.01175659,-0.011251293,0.173597564,1.522020855
256,POM,-0.017641921,-0.0183438,0.194049676,1.603990009
257,POM,-0.018098488,-0.018257261,0.175443428,1.531873737
258,POM,-0.016150253,-0.016650343,0.189066847,1.579780134
259,POM,-0.015868887,-0.016712009,0.180407294,1.534254222
260,POM,-0.013294912,-0.013270142,0.177806775,1.543558268
261,POM,-0.014661556,-0.014816034,0.183217486,1.567283202
262,POM,-0.01873121,-0.019450241,0.177333452,1.560277118
263,POM,-0.02118712,-0.022670025,0.206795761,1.630201512
264,POM,-0.016456532,-0.016740088,0.183282478,1.569446158
265,POM,-0.015269274,-0.015295577,0.179214745,1.547511418
266,POM,-0.013686356,-0.0136481,0.170697026,1.509956471
267,POM,-0.013843129,-0.013471953,0.172920005,1.527332622
268,POM,-0.025514612,-0.027327466,0.198124872,1.613321271
269,POM,-0.016647924,-0.017199017,0.182736996,1.551878602
270,POM,-0.018407426,-0.019131714,0.192092872,1.591113162
271,POM,-0.020512119,-0.021545124,0.185459325,1.584477297
272,POM,-0.021812217,-0.02417962,0.191590866,1.585982755
273,POM,-0.018047453,-0.017994859,0.177142578,1.534902236
274,POM,-0.01406183,-0.014084507,0.183219969,1.566513935
275,POM,-0.017517356,-0.017147311,0.167880847,1.496954176
276,POM,-0.022880045,-0.024024024,0.183875484,1.567369918
277,POM,-0.005586782,-0.002332059,0.152681308,1.434183449
278,POM,-0.016328684,-0.016718615,0.180996729,1.563066663
279,POM,-0.012479552,-0.01155839,0.168064408,1.489838334
280,POM,-0.01595845,-0.016536118,0.188089683,1.580558848
281,POM,-0.013026464,-0.012363636,0.170202359,1.50727657
282,POM,-0.017490346,-0.018648019,0.205490967,1.637930194
283,POM,-0.016930762,-0.017410766,0.182359627,1.5700832
284,POM,-0.015284871,-0.015936255,0.196889313,1.610836785
285,POM,-0.017477001,-0.01848249,0.194755642,1.606144192
286,POM,-0.01634404,-0.017214397,0.199395737,1.606142388
287,POM,-0.01177281,-0.011294854,0.171610845,1.533384936
288,POM,-0.016515339,-0.016146024,0.168344559,1.485317696
289,POM,-0.018012618,-0.01875617,0.198152958,1.610856622
290,POM,-0.024099418,-0.025460931,0.194236762,1.594987051
291,POM,-0.017036223,-0.016593814,0.166538906,1.492219366
292,POM,-0.01683326,-0.015241478,0.173202568,1.551997791
293,POM,-0.02237801,-0.022956841,0.185582425,1.569130384
294,POM,-0.022758031,-0.021102182,0.176007005,1.550304589
295,POM,-0.013515698,-0.013608634,0.185831231,1.575517404
296,POM,-0.013577034,-0.01350173,0.174768826,1.533137988
297,POM,-0.018859013,-0.019994185,0.179699943,1.558303631
298,POM,-0.016783726,-0.017486339,0.196856619,1.600389566
299,POM,-0.014507949,-0.014700474,0.185844435,1.568415618
300,PVC,0.008334433,0.0113105,0.105686956,0.959589685
301,PVC,0.00811427,0.011211569,0.10545385,0.962311785
302,PVC,0.018219183,0.020967091,0.10028641,0.889734397
303,PVC,0.022347025,0.025199155,0.102352665,0.916904925
304,PVC,0.012918851,0.016174978,0.105463343,0.975626776
305,PVC,0.020123999,0.022952385,0.100582475,0.915515326
306,PVC,0.029590874,0.031980804,0.098826228,0.858092412
307,PVC,0.016290561,0.019393331,0.103796219,0.945340898
308,PVC,0.02075901,0.023639585,0.101460853,0.915459054
309,PVC,0.01153828,0.014792024,0.10586634,0.966646608
310,PVC,0.026899154,0.029371925,0.099193548,0.876055822
311,PVC,0.011481895,0.014596423,0.105290273,0.957109995
312,PVC,0.028741245,0.031423681,0.098884307,0.87608075
313,PVC,0.013471352,0.016457787,0.105365692,0.953686749
314,PVC,0.020074935,0.022926829,0.100045026,0.915369227
315,PVC,0.009037636,0.012223108,0.108154387,0.991254243
316,PVC,0.02304203,0.025960372,0.099374107,0.903071276
317,PVC,0.025439293,0.028390642,0.100845693,0.923925078
318,PVC,0.031250914,0.033324705,0.097600722,0.79908956
319,PVC,0.024592019,0.027281201,0.100022255,0.877322361
320,PVC,0.034968986,0.037070789,0.098105263,0.811495759
321,PVC,0.023298509,0.025988867,0.100133239,0.900634062
322,PVC,0.019581364,0.022603472,0.100687108,0.923098273
323,PVC,0.008282514,0.011446305,0.108935232,0.991660326
324,PVC,0.024780062,0.027509125,0.099750698,0.907374425
325,PVC,0.003722068,0.007041281,0.116011613,1.051229179
326,PVC,0.008961144,0.012094641,0.105296339,0.968321951
327,PVC,0.036214024,0.037950263,0.097789492,0.780421475
328,PVC,0.028418649,0.03115131,0.100503938,0.903411831
329,PVC,0.00391297,0.007145896,0.112573349,1.042762311
330,PVC,-0.006649519,-0.003697909,0.117721988,1.031154306
331,PVC,0.004999608,0.008060349,0.107047539,0.968293467
332,PVC,0.001674878,0.004796584,0.111382836,1.010672423
333,PVC,0.017281792,0.020267058,0.103974124,0.928523608
334,PVC,0.01940856,0.022321813,0.103338754,0.931539158
335,PVC,0.0063674,0.009598078,0.111755495,1.019352599
336,PVC,0.024523014,0.027330009,0.101074088,0.904600108
337,PVC,0.012218121,0.015278932,0.1064184,0.957487018
338,PVC,0.001430004,0.004585543,0.11826842,1.078024136
339,PVC,0.009428539,0.012530574,0.106810405,0.971565237
340,PVC,0.007513319,0.010696582,0.109729496,1.001232082
341,PVC,0.001286812,0.000824651,0.104682035,1.06377407
342,PVC,0.028920688,0.031618757,0.100433595,0.890110893
343,PVC,0.015634614,0.018834081,0.107114556,0.97023121
344,PVC,0.020546204,0.023630226,0.103039425,0.929850799
345,PVC,0.012399625,0.015655771,0.109521929,0.995658311
346,PVC,0.020771692,0.023838524,0.104640758,0.949226865
347,PVC,0.02564937,0.028562035,0.102271677,0.930528061
348,PVC,0.019657894,0.022869569,0.10462591,0.943525208
349,PVC,0.015827929,0.019010669,0.106684876,0.976978483
350,PET,-0.031357434,-0.028628474,0.120346127,1.068068685
351,PET,-0.021353012,-0.018668179,0.111295557,0.990204582
352,PET,-0.024496037,-0.021686503,0.113376587,1.009839662
353,PET,-0.034926823,-0.032116387,0.122312838,1.09736985
354,PET,-0.01845592,-0.015739121,0.10938697,0.969389156
355,PET,0.00097193,0.003217195,0.104019873,0.829372717
356,PET,-0.035382496,-0.032725356,0.122019869,1.075866417
357,PET,-0.014782428,-0.012164901,0.106296102,0.921635051
358,PET,-0.032344032,-0.029557788,0.116819622,1.039421076
359,PET,-0.017149276,-0.014609654,0.109784419,0.963472111
360,PET,-0.034450037,-0.031612861,0.119785568,1.084384413
361,PET,-0.035415852,-0.032603346,0.117801293,1.058058787
362,PET,-0.017917858,-0.015360515,0.108584942,0.958643416
363,PET,-0.032799735,-0.030020704,0.119885287,1.072218322
364,PET,-0.029715831,-0.02708414,0.114829324,1.031319838
365,PET,-0.03633941,-0.033738192,0.124328755,1.106970059
366,PET,-0.019969796,-0.017238421,0.109049069,0.970071761
367,PET,-0.031739041,-0.028901094,0.114504431,1.051979173
368,PET,-0.013666313,-0.011182997,0.107346812,0.937885433
369,PET,-0.028916192,-0.026192893,0.112560704,0.996517095
370,PET,-0.032157584,-0.029471988,0.118592599,1.054709837
371,PET,-0.022261839,-0.01954002,0.111232183,0.997942157
372,PET,-0.035603833,-0.032884669,0.123986717,1.114018751
373,PET,-0.018946205,-0.016275182,0.109487738,0.972651571
374,PET,-0.015340747,-0.012795358,0.108237493,0.950960724
375,PET,-0.015408643,-0.012886385,0.108585242,0.953296057
376,PET,-0.002995975,-0.000600105,0.10421005,0.888484824
377,PET,-0.027433052,-0.024758752,0.114950295,1.038954659
378,PET,-0.027078483,-0.024337859,0.113917819,1.018575153
379,PET,-0.017693897,-0.015127804,0.108841586,0.961299687
380,PET,-0.021876826,-0.019257358,0.110999149,0.986159652
381,PET,-0.03135193,-0.028603352,0.116055326,1.030345806
382,PET,-0.024297112,-0.021673373,0.112890806,1.005220955
383,PET,-0.009206002,-0.006794851,0.106566954,0.942559476
384,PET,-0.035469442,-0.032649566,0.119324173,1.110244439
385,PET,0.016546767,0.017579162,0.097713681,0.765791895
386,PET,0.005525995,0.007375624,0.101591484,0.808388252
387,PET,-0.026088099,-0.023503328,0.113649817,1.005042903
388,PET,-0.004073879,-0.00161332,0.105527084,0.903684097
389,PET,-0.019891401,-0.017281909,0.110370588,0.979693055
390,PET,-0.024465762,-0.021885438,0.112914117,1.00442844
391,PET,-0.03261639,-0.029790021,0.121176552,1.087591168
392,PET,-0.030105011,-0.027455181,0.115993068,1.039321031
393,PET,-0.018106236,-0.015605713,0.110346625,0.966508365
394,PET,-0.036260086,-0.03364239,0.122963423,1.088606004
395,PET,-0.029101495,-0.026437541,0.114095096,1.022157255
396,PET,-0.028685264,-0.026164432,0.113617084,1.005982043
397,PET,-0.020531441,-0.018017602,0.110920755,0.974944418
398,PET,-0.031087565,-0.028265516,0.115646442,1.037914767
399,PET,-0.032134624,-0.029472065,0.119097292,1.056306542
400,PU,-0.031587744,-0.029276251,0.148479251,1.439245943
401,PU,-0.035273914,-0.033530572,0.13827344,1.246774593
402,PU,-0.02912632,-0.028181824,0.146264756,1.394647493
403,PU,-0.031425259,-0.029349859,0.135451476,1.207874156
404,PU,-0.030957469,-0.029872819,0.145594866,1.364939613
405,PU,-0.027023161,-0.024793388,0.134715463,1.209918887
406,PU,-0.028789684,-0.026951151,0.138914659,1.276627309
407,PU,-0.021089522,-0.018803419,0.137289755,1.257753633
408,PU,-0.026678642,-0.024632993,0.137713092,1.25881917
409,PU,-0.025045546,-0.022590865,0.133868793,1.210798085
410,PU,-0.026086295,-0.023897512,0.136098734,1.246308576
411,PU,-0.023441586,-0.021556256,0.139869934,1.299258218
412,PU,-0.03384202,-0.032186459,0.139652929,1.279779633
413,PU,-0.022943525,-0.021943574,0.148916409,1.417837203
414,PU,-0.038174762,-0.03562581,0.128614102,1.138672648
415,PU,-0.024391177,-0.02221172,0.136553023,1.23774854
416,PU,-0.027324611,-0.02529511,0.138491108,1.250781302
417,PU,-0.02473761,-0.022896394,0.139765758,1.293115877
418,PU,-0.029438518,-0.02667507,0.113664955,1.016266238
419,PU,-0.027456998,-0.025262687,0.135155606,1.203650963
420,PU,-0.024731096,-0.023123218,0.142892289,1.331349901
421,PU,-0.018538542,-0.015925187,0.133143533,1.201890945
422,PU,-0.026389182,-0.024542955,0.140609909,1.290293275
423,PU,-0.032847728,-0.03190319,0.146285031,1.360247374
424,PU,-0.031285702,-0.029097239,0.13492719,1.219052381
425,PU,-0.037760744,-0.035173904,0.131268073,1.169340952
426,PU,-0.025386107,-0.023008849,0.134194077,1.195566794
427,PU,-0.023807826,-0.021667452,0.137399974,1.257632395
428,PU,-0.033146198,-0.031708358,0.141377958,1.337478944
429,PU,-0.024492753,-0.021801546,0.131415757,1.166530639
430,PU,-0.023621455,-0.021763393,0.139446604,1.271476507
431,PU,-0.027982263,-0.025438596,0.131766559,1.183899973
432,PU,-0.02327797,-0.020933165,0.134839582,1.208506823
433,PU,-0.030674433,-0.028194233,0.132811089,1.198044126
434,PU,-0.027317303,-0.025247525,0.136785294,1.244069711
435,PU,-0.024875745,-0.022526222,0.134754382,1.224414162
436,PU,-0.02458669,-0.022838971,0.14234257,1.310154315
437,PU,-0.033803919,-0.033181977,0.151184963,1.415938286
438,PU,-0.026952008,-0.025608994,0.143373164,1.33824219
439,PU,-0.032130293,-0.030503095,0.140234878,1.292389341
440,PU,-0.024164217,-0.021886792,0.135751481,1.228474031
441,PU,-0.026211344,-0.023955406,0.134405863,1.201469993
442,PU,-0.027776624,-0.025977505,0.140104707,1.296480254
443,PU,-0.024930107,-0.023029683,0.138896636,1.27683685
444,PU,-0.018915078,-0.017487047,0.146552258,1.365910943
445,PU,-0.023127706,-0.020450536,0.1329011,1.194657102
446,PU,-0.01709697,-0.014998025,0.139694207,1.283483447
447,PU,-0.02865127,-0.027409917,0.145933013,1.365366879
448,PU,-0.022220186,-0.019880478,0.136200587,1.22452882
449,PU,-0.028290402,-0.026344086,0.139263759,1.247294697
450,ABS,-0.000634822,-0.000962017,0.037197845,0.432684045
