,polymer,mean(nid),Median(nid),IQR(nid),Range(nid)
0,PA,-0.024676153,-0.026493506,0.208325191,1.609721446
1,PA,-0.029531994,-0.033917489,0.288142829,1.739942262
2,PA,-0.029625252,-0.033985994,0.285568653,1.684660634
3,PA,-0.029879655,-0.031541537,0.191149198,1.556594641
4,PA,-0.029056055,-0.031219021,0.217881052,1.637070982
5,PA,-0.026496531,-0.028871391,0.223404627,1.648253413
6,PA,-0.025719613,-0.027926641,0.216899163,1.633378981
7,PA,-0.030999647,-0.033570702,0.214833027,1.629069943
8,PA,-0.026853936,-0.03002427,0.242577219,1.685918842
9,PA,-0.025648754,-0.027790862,0.206697607,1.614733004
10,PA,-0.029440936,-0.032053819,0.202941525,1.585445257
11,PA,-0.027543708,-0.030563003,0.234536482,1.6695102
12,PA,-0.026056593,-0.027932961,0.216719203,1.634030048
13,PA,-0.025948736,-0.026374609,0.215887801,1.664537929
14,PA,-0.028837409,-0.032032615,0.237439908,1.682402213
15,PA,-0.030007708,-0.030345801,0.172618322,1.520648558
16,PA,-0.02658156,-0.028195489,0.202745983,1.617083354
17,PA,-0.025859164,-0.028213166,0.209930947,1.601890259
18,PA,-0.027390438,-0.029589778,0.201349267,1.601211629
19,PA,-0.024749486,-0.026962955,0.217180606,1.641968905
20,PA,-0.025596304,-0.027576813,0.208232499,1.609913532
21,PA,-0.027889394,-0.032142857,0.239894605,1.66478485
22,PA,-0.029706034,-0.031889576,0.209570077,1.603453722
23,PA,-0.031818891,-0.034917556,0.176566331,1.551013845
24,PA,-0.034490026,-0.036248489,0.159454033,1.470209612
25,PA,-0.030047581,-0.03322884,0.256236936,1.737043648
26,PA,-0.038457352,-0.038778752,0.185185184,1.651267813
27,PA,-0.031143757,-0.033136799,0.20945312,1.620643128
28,PA,-0.03198696,-0.034984098,0.209882287,1.625789203
29,PA,-0.028726756,-0.031539889,0.232462415,1.660071457
30,PA,-0.030377835,-0.033386327,0.210524227,1.60766113
31,PA,-0.027699558,-0.029318899,0.212418736,1.616101736
32,PA,-0.028558099,-0.031031031,0.212558282,1.619289477
33,PA,-0.026712379,-0.028969957,0.217683544,1.621756541
34,PA,-0.028755753,-0.030965392,0.212177123,1.61873622
35,PA,-0.027430522,-0.03004675,0.22483657,1.643953281
36,PA,-0.031761279,-0.030490956,0.188563476,1.622711673
37,PA,-0.027220977,-0.027849041,0.199470559,1.589722455
38,PA,-0.031039608,-0.035385901,0.185106378,1.591731815
39,PA,-0.036676258,-0.040564374,0.187955808,1.56857905
40,PA,-0.027697339,-0.030591974,0.178561341,1.563478584
41,PA,-0.029747067,-0.032110092,0.209865116,1.625056709
42,PA,-0.028999646,-0.030604438,0.199089135,1.566869519
43,PA,-0.02780186,-0.030212977,0.222976674,1.650487704
44,PA,-0.026477055,-0.028421513,0.20999214,1.594120188
45,PA,-0.031710815,-0.033606997,0.21132386,1.635460628
46,PA,-0.027910812,-0.029313891,0.191865497,1.573921004
47,PA,-0.027592593,-0.029302078,0.210043018,1.58871699
48,PA,-0.029014175,-0.032258064,0.243865825,1.673080202
49,PA,-0.029519352,-0.031403336,0.205234203,1.606334866
50,PC,-0.038329193,-0.044219499,0.302135465,1.705653416
51,PC,-0.037358072,-0.043043812,0.306695319,1.714394
52,PC,-0.037810349,-0.043893959,0.308758184,1.718197847
53,PC,-0.03681452,-0.043010753,0.329672134,1.736643201
54,PC,-0.036430655,-0.041503028,0.289809797,1.678707115
55,PC,-0.035815141,-0.040950339,0.300151297,1.693045901
56,PC,-0.037665723,-0.043302714,0.303745218,1.706452359
57,PC,-0.037584013,-0.042137797,0.305245144,1.710460086
58,PC,-0.038429005,-0.043308981,0.284388398,1.683293415
59,PC,-0.03953326,-0.045585689,0.309393791,1.714396628
60,PC,-0.038286878,-0.044811321,0.353164826,1.761360078
