,polymer,mean(ni),Median(ni),mean(nid),Median(nid)
301,PVC,0.042917697,0.042141244,-0.100261502,-0.105868475
302,PVC,0.054895252,0.054281878,-0.100780231,-0.105943152
303,PVC,0.050778927,0.050198376,-0.103682254,-0.109009279
304,PVC,0.051009164,0.05034487,-0.103530841,-0.109002433
305,PVC,0.055695831,0.055099799,-0.104022506,-0.109405857
306,PVC,0.059820765,0.05907343,-0.108425584,-0.11363176
307,PVC,0.048163525,0.047506562,-0.102714479,-0.108146068
308,PVC,0.054329727,0.053769151,-0.10346842,-0.108802098
309,PVC,0.046825388,0.046096564,-0.101065915,-0.106734892
310,PVC,0.057171505,0.056552524,-0.104147818,-0.109361424
311,PVC,0.046309779,0.045583837,-0.099974256,-0.10552567
312,PVC,0.059407156,0.058890313,-0.110534008,-0.115897548
313,PVC,0.048388252,0.04770799,-0.100518868,-0.105916155
314,PVC,0.054209547,0.053598242,-0.103560891,-0.108933407
315,PVC,0.042464504,0.041781115,-0.099030467,-0.104758888
316,PVC,0.053669385,0.053073308,-0.105223546,-0.110715133
317,PVC,0.056894406,0.056277849,-0.108733913,-0.114160451
318,PVC,0.061170492,0.060556675,-0.106720712,-0.111909456
319,PVC,0.055729666,0.055160837,-0.104679946,-0.109936575
320,PVC,0.062580489,0.062149789,-0.111976931,-0.117203755
321,PVC,0.054910788,0.054263566,-0.104034024,-0.109343012
322,PVC,0.05323184,0.052499542,-0.103755022,-0.109244571
323,PVC,0.040090804,0.039339559,-0.098015287,-0.103818336
324,PVC,0.05624766,0.055655252,-0.105310675,-0.11061381
325,PVC,0.039348752,0.038588781,-0.098705241,-0.10464563
326,PVC,0.043659287,0.042898126,-0.097917715,-0.103597693
327,PVC,0.063157516,0.062589269,-0.112800044,-0.118026267
328,PVC,0.058638966,0.058029665,-0.108961886,-0.11420785
329,PVC,0.039055582,0.038399561,-0.098509306,-0.104426434
330,PVC,0.038552081,0.037813587,-0.093661478,-0.099282296
331,PVC,0.046313818,0.045663187,-0.097885132,-0.103225806
332,PVC,0.041579544,0.040914362,-0.096718079,-0.102201874
333,PVC,0.051238773,0.050570714,-0.102522056,-0.10788918
334,PVC,0.051484892,0.050912531,-0.104071624,-0.109408408
