polymer,mean(ni),standard_deviation(ni),mean(nd),standard_deviation(nd)
1,-0.464632714157164,-0.2058533295876325,-0.03464047674393933,0.2714101306288911
1,-0.49752551236169573,-0.19597249737338418,-0.4095364415316506,0.8185965693230731
1,-0.5017468297389956,-0.23750150015920213,-0.30625256090067854,0.8658387865453174
1,-0.4543734692895196,-0.21326499764522797,0.12842965370490012,0.13693957099393758
1,-0.4699262788962369,-0.042141529015531816,-0.08323928176918198,0.3625148716171154
1,-0.4735454964518637,-0.20506507143239883,-0.13065099128737478,0.3878199952427156
1,-0.4725029953846856,-0.2059224587607517,-0.1244213581335787,0.3747753326650512
1,-0.4690105072496233,-0.2015951581051527,-0.03734523061927032,0.33037143040995787
1,-0.4812674814448284,-0.20238480812293227,-0.22582526727336727,0.5087278149468126
1,-0.4628878433418808,-0.18918484769059088,-0.005975051042075327,0.239590500626825
1,-0.4588910339468435,-0.17218231878250287,0.06975882328185105,0.20827983070125766
1,-0.47807413717649894,-0.2057860562312412,-0.18663815878466347,0.4498628573899841
1,-0.47082726744488085,-0.20119940518789897,-0.11145823752679453,0.35140834403047566
1,-0.4667121332332009,-0.052587457423466995,-0.08076992276084637,0.3608584591899742
1,-0.4792949359125907,-0.2050395539523885,-0.19696888465222984,0.47672736967312124
1,-0.41012591611257243,1.9518583846821618,0.345844796656968,0.019032222616794745
1,-0.4570751592366419,0.06452014556581794,0.03233175349994566,0.2383146862790728
1,-0.4664256262887934,-0.20562228040499184,-0.04336751428062257,0.29099708863088297
1,-0.4631892984746922,-0.21454551118757317,-0.003612067828949869,0.2499932876150038
1,-0.4735468622000011,-0.20556753381151482,-0.11827738238390308,0.39119505933422694
1,-0.464702397328609,-0.2065794178824767,-0.01234611153484779,0.2694771650951735
1,-0.47992861303185586,-0.09445421885378767,-0.19173886729870004,0.5300734686182834
1,-0.4656234068444525,-0.2165414420785763,0.027265382459253223,0.2778237554317917
1,-0.41359392583871235,1.640431459779453,0.33262733244488407,0.06136467703533742
1,-0.39917168554169713,2.086685325790739,0.45492129934336695,-0.08883949883442971
1,-0.48518108526103937,-0.09153223541549424,-0.23491486630527345,0.7128207156074688
1,-0.43936733414325496,0.008871161204734454,0.39565113616148917,0.06912917619171406
1,-0.4662983415640412,-0.13249289432835099,-0.02051129983544276,0.30755948974986164
1,-0.46359959322829153,-0.02113229179161297,-0.0008284453929322587,0.307301222634058
1,-0.4772957057629012,-0.20995932409841314,-0.15560393381782983,0.43699957589519256
1,-0.46612672255360116,-0.17002307601943234,-0.016202122861113166,0.2997853075055448
1,-0.4685682750011209,-0.18646561222983554,-0.07281888314497607,0.3171437921904504
1,-0.466558539096529,-0.18262871114462,-0.03225560572004764,0.2849119944132524
1,-0.4707722473056353,-0.2108858405998852,-0.08003761767079294,0.3356122313715028
1,-0.46782769432161403,-0.11377791053446727,-0.06510117897560845,0.32271246791059205
1,-0.47346919465483034,-0.21272588288573344,-0.12478899056368332,0.3749676699111716
1,-0.3979794924753823,6.646801437601209,0.1329951198677094,0.23779907792041513
1,-0.4547353625294618,0.6390921394662751,0.025178330545640525,0.22951358233918312
1,-0.4349174715721658,1.212546931696454,0.1525703256068657,0.22175300528350003
1,-0.43729342308443114,0.8697859332033957,0.24085829272067905,0.10948829958776639
1,-0.43994900777575363,0.20748113139337865,0.1692500171795039,0.06074762129186733
1,-0.4626853073955855,-0.023802348109075472,-0.0103261718920725,0.2934346677819711
1,-0.45471997910264056,-0.21479187085822013,0.09440210762140494,0.14356837124240446
1,-0.47410152103417946,-0.19860265363119395,-0.12253410105432015,0.3989980079367422
1,-0.4668057094929379,-0.21424858051108728,-0.037290216150222696,0.28364835786666825
1,-0.4639660789839482,0.14084200036886343,-0.015383177226502598,0.353446820502511
1,-0.4534798647857498,-0.13379011022124856,0.10229755323281282,0.14922437478486372
1,-0.467461913952358,-0.21423976538162912,-0.055945357673681605,0.28780925662491796
1,-0.48303373897544843,-0.20405504317816503,-0.24188658420925244,0.5339230040188873
1,-0.4596179721531986,0.15370744983597626,0.03686649393690799,0.23533058490025768
2,-0.5470493558150121,-0.7584181208186691,-0.16927407728218372,0.9907354083729891
2,-0.546975200193623,-0.754339963558809,-0.1900805474060972,0.9982833947117599
2,-0.5472242766341356,-0.7600498476767952,-0.1690628469722281,1.0008490529543346
2,-0.5497117542387997,-0.7567172647874236,-0.24236344871625554,1.1176737729467168
2,-0.5443690675914479,-0.7564681213916847,-0.17668656291588333,0.8832433462688567
2,-0.5468544890697954,-0.7571148735214055,-0.18069116298303986,0.990547070383641
2,-0.5461940823084145,-0.7584278638564913,-0.15951236205262095,0.9607153539030359
2,-0.5457846280152073,-0.5966363696437263,-0.16775768147319964,0.993594786949764
