,polymer,mean(ni),standard_deviation(ni),Median(ni),mean(nid),standard_deviation(nid),Median(nid)
0,PA,0.009619795036122437,0.0028352123972015496,0.008833682611379002,-0.26130264074493803,0.20383499195119492,-0.2898784594889319
1,PA,0.007265530377136441,0.0028302236629158565,0.006476903565348905,-0.1916058813154884,0.24741640522258063,-0.21921590199948082
2,PA,0.007047092191092302,0.0027577931163824255,0.006287569996902842,-0.20168425384211963,0.25052079041104564,-0.23090586514944905
3,PA,0.010297521514344064,0.0028017670957583432,0.009520370031265471,-0.28428986766706055,0.19277038587833853,-0.3125667507343082
4,PA,0.009217556733119959,0.0032032982283727836,0.00831654764084722,-0.2549095652114806,0.21039838616140388,-0.2843435123356365
5,PA,0.00896088832843469,0.0028125385678073973,0.008176666870129606,-0.24782694868381705,0.21218501149921568,-0.27663595951439135
6,PA,0.009058240689330607,0.00282011481429203,0.008274159528508549,-0.24909063212845703,0.21133963406766446,-0.2778123047450561
7,PA,0.00927535570838319,0.002828330704608364,0.008494577712669638,-0.2615370773770488,0.20826201286694884,-0.29092804896834623
8,PA,0.008448752199358311,0.0028348403780651546,0.007659531899597822,-0.23072734933329084,0.2224780957943322,-0.25957446711811616
9,PA,0.009715938919638388,0.0028592809930448808,0.008918458836056346,-0.26674142860740446,0.2008937115191672,-0.2953409368949089
10,PA,0.009988981792747095,0.0028969140774150453,0.009181265132556104,-0.27461165074987653,0.19838885445453555,-0.30334727920467136
11,PA,0.00865515623773185,0.0028286946247681184,0.00787995008375891,-0.2392539292055907,0.21825190404436345,-0.26842782352528827
12,PA,0.009173898546840595,0.0028359885784487904,0.00840132386552456,-0.2507078049852874,0.20971542798217205,-0.27963356651945204
13,PA,0.009448430225300418,0.0031826030720691315,0.008545443447476042,-0.25245225720588454,0.20965015265988432,-0.282766989237873
14,PA,0.00857274854995575,0.0028254786079568647,0.0077866962366138345,-0.23596009617431293,0.21996206625097037,-0.2648967541754246
15,PA,0.013421756048106106,0.007767942235479299,0.010834401513764268,-0.30712799923767486,0.1823281063408778,-0.33655394399583627
16,PA,0.01010843660994122,0.0034562014701391055,0.009015951494435289,-0.2685007002164263,0.20073625816894264,-0.29781239328456677
17,PA,0.009479740931473144,0.0028215518252184962,0.008714995896830726,-0.26041055754485254,0.2047719409975608,-0.28913980339286344
18,PA,0.009724457488279062,0.0028076728245777947,0.008986279815798219,-0.26649304994521505,0.2016026950385244,-0.2952799110844093
19,PA,0.008973717913745927,0.002815837505485321,0.008189383303831206,-0.24803643855025315,0.2126200206123536,-0.2769230758914581
20,PA,0.00959685223002371,0.0028183923601664855,0.008816727366443535,-0.2633339255010091,0.20306107050452318,-0.29189686815753496
21,PA,0.008548853777667625,0.003086931141356102,0.007659531899597822,-0.23450919936739018,0.22410530351228808,-0.2640999193798803
22,PA,0.009548625677352315,0.0028093313958777763,0.008765861631637131,-0.26837477761104456,0.20426717953833995,-0.29762694859356087
23,PA,0.013157850512691825,0.007039488983514571,0.010516490671224236,-0.3060231834410434,0.1866902925929968,-0.33603649139895214
24,PA,0.014264389915001716,0.008126512990460799,0.01180508928631983,-0.32178543431403667,0.1751315280175943,-0.3494651336667354
25,PA,0.008187280059750076,0.0030904206067603433,0.007498457072710871,-0.21777283986012644,0.23776448629846964,-0.25111181653998943
26,PA,0.01132456423686476,0.003334358580486302,0.01078777459019173,-0.3118939394611714,0.18742031216729227,-0.3428844498628759
27,PA,0.009490749982769643,0.002996641312420489,0.008668368973258187,-0.2636094776657738,0.20628779454196153,-0.29339098099474187
28,PA,0.009669853482607757,0.0032499689786007102,0.008799772121508068,-0.26495822095691546,0.2063933178921034,-0.2950614667285649
29,PA,0.008715304033990746,0.0028136123726711,0.007930815818565315,-0.24184133054672924,0.21656310940317808,-0.27092374356605586
30,PA,0.009521917321017847,0.0029211165697600743,0.008702279463129126,-0.26474754226576164,0.20617496968704557,-0.29424778651446104
31,PA,0.009315827577374506,0.002865497198690175,0.008524249391306709,-0.2567336639232357,0.20672485747760175,-0.2858052185406395
32,PA,0.009477250432130139,0.0028849123554881436,0.008672607784492055,-0.26170848311856526,0.20488964021948444,-0.29049972434339455
33,PA,0.009183584004231792,0.0028142308824749226,0.008405562676758429,-0.2533248688737171,0.2083615170704297,-0.28207995762788984
34,PA,0.009387250810760436,0.003043622629648605,0.008566637503645376,-0.25675158187572844,0.20743374452443208,-0.285860654672791
35,PA,0.008996583641750799,0.0028144119274562166,0.008210577360000542,-0.2487466871633434,0.21193914820238857,-0.2776104270684684
36,PA,0.014128455704555246,0.017785989676361236,0.009592429822241212,-0.2833371316905549,0.19986770062783976,-0.3147069397859713
37,PA,0.010297057481357607,0.004790678348756721,0.009215175622427041,-0.2695095058128561,0.1998026781404129,-0.29901524696540144
38,PA,0.011712925500139155,0.006108318645752893,0.009656011990749218,-0.28373530836601096,0.1996540822398205,-0.3155883870498559
39,PA,0.01150472779411396,0.005284619041010119,0.009931534720950578,-0.2978729762400565,0.19095418003792344,-0.32642884420014495
40,PA,0.011332666193318543,0.0037984837455709735,0.010240967941022876,-0.2900298817668072,0.18673351309736427,-0.3179837395634348
41,PA,0.00972950472256239,0.0032457639567761926,0.008808249743975802,-0.2637948829527449,0.20516604886705622,-0.2933965464236137
42,PA,0.010265575497948385,0.0028073463586101104,0.009494937163862268,-0.279498794088612,0.19376596793247022,-0.3078324214397558
43,PA,0.008945718741303494,0.002838952409795788,0.008176666870129606,-0.24747633005883077,0.2133311294729008,-0.2765151504850523
