SBD,polymer,mean(ni),standard_deviation(ni),mean(nd),standard_deviation(nd)
PVC_M10,PVC,0.051813771,0.003277352,0.348541587,0.089262196
PVC_M11,PVC,0.065706516,0.00337558,0.332921539,0.090606092
PVC_M12,PVC,0.05262389,0.003213654,0.358099217,0.090010922
PVC_M13,PVC,0.067681155,0.003569618,0.320108517,0.090488502
PVC_M14,PVC,0.054568028,0.003286799,0.353714668,0.089722431
PVC_M15,PVC,0.061631942,0.003339586,0.33485937,0.088682152
PVC_M16,PVC,0.047939987,0.003356365,0.362064731,0.091783555
PVC_M17,PVC,0.061274901,0.003391915,0.328010465,0.087843679
PVC_M18,PVC,0.064444929,0.00334246,0.327325919,0.089248115
PVC_M19,PVC,0.071951948,0.003404294,0.315216625,0.093545409
PVC_M20,PVC,0.064252607,0.003437187,0.33510289,0.090239427
PVC_M21,PVC,0.073051983,0.003649209,0.309160516,0.09399358
PVC_M22,PVC,0.063022597,0.003312434,0.337403458,0.089949862
PVC_M23,PVC,0.0604386,0.00318293,0.336881677,0.08874089
PVC_M24,PVC,0.045142881,0.003256586,0.364370947,0.093146724
PVC_M25,PVC,0.064238849,0.00342344,0.331191287,0.089686623
PVC_M26,PVC,0.042082645,0.003245215,0.364559396,0.095053271
PVC_M27,PVC,0.049563879,0.003475108,0.359798779,0.091178307
PVC_M28,PVC,0.074865618,0.003508632,0.304018135,0.095270815
PVC_M29,PVC,0.066962867,0.003497547,0.326173826,0.090981427
PVC_M30,PVC,0.043182292,0.003389947,0.36790275,0.094568421
PVC_M31,PVC,0.040801059,0.003332162,0.379557977,0.095083918
PVC_M32,PVC,0.051315747,0.003309406,0.361769031,0.089153055
PVC_M33,PVC,0.047066236,0.003325493,0.371051435,0.09150063
PVC_M34,PVC,0.058289654,0.003336593,0.353047164,0.089130302
PVC_M35,PVC,0.058605602,0.003414545,0.350158573,0.088975923
PVC_M36,PVC,0.045540422,0.003232652,0.368099307,0.09274604
PVC_M37,PVC,0.063767486,0.003319381,0.339190314,0.09015666
PVC_M38,PVC,0.053730211,0.003348177,0.356837122,0.089808272
PVC_M39,PVC,0.037631337,0.003242321,0.373107148,0.098949018
PVC_M40,PVC,0.051890019,0.003350163,0.362314571,0.09071879
PVC_M41,PVC,0.04987984,0.003285411,0.36014079,0.090969871
PVC_M42,PVC,0.055460609,0.033712839,0.353679249,0.12713429
PVC_M43,PVC,0.065034724,0.003562967,0.332504126,0.090411175
PVC_M44,PVC,0.053512217,0.003362988,0.353610532,0.089938121
PVC_M45,PVC,0.058600363,0.003446337,0.343512382,0.089274397
PVC_M46,PVC,0.049335046,0.003460231,0.355701259,0.090933237
PVC_M47,PVC,0.05824291,0.00326373,0.344772784,0.089382771
PVC_M48,PVC,0.062606174,0.003288954,0.337718089,0.089934144
PVC_M49,PVC,0.054896917,0.003273683,0.34804209,0.089414074
PVC_M50,PVC,0.053183676,0.003328423,0.352598349,0.090067603
PET_M01,PET,0.066005177,0.004407975,0.455056559,0.097075422
PET_M02,PET,0.094362854,0.005596295,0.415080207,0.098864849
PET_M03,PET,0.088790187,0.005097874,0.424733545,0.098041912
PET_M04,PET,0.062937899,0.004275823,0.456595241,0.09712946
PET_M05,PET,0.096042943,0.004440675,0.415178296,0.099890666
PET_M06,PET,0.118533405,0.008837402,0.359475911,0.109435868
PET_M07,PET,0.066630261,0.005089764,0.456640505,0.097204699
PET_M08,PET,0.098259588,0.014368814,0.406956367,0.104180352
PET_M09,PET,0.075779413,0.00627206,0.445899436,0.096978889
PET_M10,PET,0.095224865,0.005938667,0.413387434,0.099121767
PET_M11,PET,0.069577825,0.004162904,0.452596613,0.096816072
PET_M12,PET,0.071624795,0.004634791,0.450740848,0.096535355
PET_M13,PET,0.096674073,0.004829546,0.413651446,0.100100249
PET_M14,PET,0.065766578,0.004488128,0.454110806,0.09708078
PET_M15,PET,0.081663139,0.004646488,0.438253788,0.096958427
PET_M16,PET,0.060373282,0.004366199,0.458388282,0.0983753
PET_M17,PET,0.09728913,0.005190457,0.411772508,0.100807391
PET_M18,PET,0.077498262,0.00438222,0.44413011,0.096993893
PET_M19,PET,0.102253918,0.004954757,0.402034422,0.102129012
PET_M20,PET,0.086000687,0.004426238,0.433422303,0.098176964
PET_M21,PET,0.071954921,0.004820977,0.449949779,0.096493743
PET_M22,PET,0.091332447,0.004885499,0.421957016,0.09849204
PET_M23,PET,0.059908796,0.004379651,0.457719405,0.098369747
PET_M24,PET,0.096844187,0.00463266,0.411335862,0.099888342
PET_M25,PET,0.10132636,0.004964876,0.402646892,0.101359095
PET_M26,PET,0.100759397,0.004831494,0.40403532,0.101049848
PET_M27,PET,0.112812711,0.004977545,0.375087009,0.106323766
PET_M28,PET,0.080643766,0.004995048,0.436239158,0.096594315
PET_M29,PET,0.081978278,0.00467664,0.436605706,0.09686416
PET_M30,PET,0.097017611,0.004800444,0.410679448,0.099846562
PET_M31,PET,0.091762533,0.004667584,0.421040642,0.098580911
PET_M32,PET,0.080156823,0.004460011,0.44148877,0.0970812
PET_M33,PET,0.088845902,0.00685523,0.422788338,0.097534463
PET_M34,PET,0.113755403,0.005207894,0.373478628,0.106551973
PET_M35,PET,0.071032452,0.00593678,0.452268583,0.097333455
PET_M36,PET,0.138296329,0.006898149,0.292133443,0.11507473
PET_M37,PET,0.126830908,0.006520812,0.333400405,0.111920182
PET_M38,PET,0.081634983,0.004763671,0.437124777,0.096963079
PET_M39,PET,0.110458364,0.004544661,0.378557636,0.104539791
PET_M40,PET,0.097045604,0.004874225,0.412470563,0.100170903
PET_M41,PET,0.088498145,0.004823506,0.425424508,0.097551291
PET_M42,PET,0.06607108,0.004722076,0.453553747,0.097039888
PET_M43,PET,0.078917318,0.004864786,0.442204949,0.096885414
PET_M44,PET,0.096816003,0.00547313,0.411737299,0.099816971
PET_M45,PET,0.063385457,0.004473711,0.459380949,0.097883227
PET_M46,PET,0.083282554,0.005064788,0.43712366,0.097436988
PET_M47,PET,0.083043839,0.005434637,0.437503036,0.09717491
PET_M48,PET,0.090350872,0.004998909,0.424842303,0.098358529
PET_M49,PET,0.077410817,0.005069181,0.442416449,0.096844946
PET_M50,PET,0.071062842,0.004842447,0.447155557,0.096230246
PU_M01,PU,0.029873011,0.005975338,0.408627865,0.134043624
PU_M02,PU,0.036346064,0.004357069,0.433534317,0.115683865
PU_M03,PU,0.028984782,0.004226484,0.407881734,0.131178926
PU_M04,PU,0.036730151,0.004217321,0.425612813,0.115109766
Pu_M05,PU,0.030267676,0.004290825,0.415188977,0.128157117
Pu_M06,PU,0.037712491,0.004208189,0.427443838,0.113520259
Pu_M07,PU,0.033845455,0.004147226,0.422849502,0.119712758
Pu_M08,PU,0.036352812,0.00425715,0.422775184,0.115868825
Pu_M09,PU,0.034833264,0.004242052,0.420884956,0.11866787
Pu_M10,PU,0.037966172,0.00423337,0.42405815,0.113370185
Pu_M11,PU,0.03571257,0.004228957,0.422016069,0.117055312
Pu_M12,PU,0.033686031,0.004207017,0.419631716,0.119879008
PU_M13,PU,0.03129993,0.004214759,0.418007082,0.125476334
PU_M14,PU,0.028833308,0.004240288,0.407539851,0.131804231
PU_M15,PU,0.045688777,0.004250935,0.444347325,0.104963904
PU_M16,PU,0.034974556,0.004209191,0.419386664,0.118373624
PU_M17,PU,0.035175871,0.004249488,0.422244476,0.118150866
PU_M18,PU,0.032744359,0.004150153,0.414568914,0.121707303
PU_M19,PU,0.080982305,0.004286678,0.440071324,0.097074888
PU_M20,PU,0.035974378,0.004184936,0.425185112,0.116664722
PU_M21,PU,0.03156274,0.00432999,0.412687756,0.125473257
PU_M22,PU,0.040291389,0.004196872,0.421000737,0.109982673
PU_M23,PU,0.03304331,0.004317566,0.418067423,0.12206915
PU_M24,PU,0.02873347,0.00427694,0.409394368,0.132232758
PU_M25,PU,0.03627647,0.004225939,0.425333061,0.116301182
PU_M26,PU,0.043555059,0.004351955,0.444767169,0.107331518
PU_M27,PU,0.038368713,0.004249611,0.423975452,0.113052059
PU_M28,PU,0.034551172,0.00430969,0.41823003,0.119267388
PU_M29,PU,0.031432544,0.004453555,0.412217146,0.125964441
PU_M30,PU,0.040715856,0.0042859,0.428581639,0.109872596
PU_M31,PU,0.03441371,0.004257263,0.417602852,0.118857135
PU_M32,PU,0.039703992,0.00419122,0.425202847,0.110897323
PU_M33,PU,0.03728877,0.004241986,0.420500131,0.114449642
PU_M34,PU,0.037816771,0.004297338,0.425415018,0.11376134
PU_M35,PU,0.034143454,0.004213682,0.417276044,0.119821398
PU_M36,PU,0.038038514,0.005300715,0.425302963,0.113624296
PU_M37,PU,0.032074382,0.004283689,0.413788501,0.123613645
PU_M38,PU,0.026451351,0.004232393,0.401238527,0.138492242
PU_M39,PU,0.03054766,0.004350493,0.41180981,0.12758363
PU_M40,PU,0.032831974,0.004174509,0.424656966,0.122320366
PU_M41,PU,0.036267726,0.004185472,0.422820687,0.116190242
PU_M42,PU,0.037860332,0.004212028,0.425168057,0.11337635
PU_M43,PU,0.032694957,0.004205072,0.418552642,0.122473283
PU_M44,PU,0.033991453,0.004156473,0.419177514,0.119922127
PU_M45,PU,0.030351869,0.004226564,0.410338874,0.127966905
PU_M46,PU,0.040016026,0.00423936,0.42498212,0.11039962
PU_M47,PU,0.034254558,0.004215016,0.41509339,0.118788985
PU_M48,PU,0.029317436,0.004216747,0.409079877,0.13041219
PU_M49,PU,0.03700663,0.004211134,0.423280273,0.115032501
PU_M50,PU,0.034225528,0.004294643,0.423273277,0.120039281
ABS_M01,ABS,0.257415255,0.005966496,0.03671851,0.046288266
ABS_M02,ABS,0.228182079,0.005884334,0.053916647,0.063200664
ABS_M03,ABS,0.251361595,0.006111866,0.039711949,0.049576253
ABS_M04,ABS,0.225448626,0.005966067,0.056137499,0.065045852
ABS_M05,ABS,0.244636324,0.006017631,0.04319258,0.053250319
ABS_M06,ABS,0.200374929,0.005984495,0.088311389,0.084701872
ABS_M07,ABS,0.252429428,0.0059305,0.03914069,0.048964003
ABS_M08,ABS,0.187205695,0.009048601,0.117535064,0.098030755
ABS_M09,ABS,0.283462462,0.005737848,0.024143493,0.031874731
ABS_M10,ABS,0.311531546,0.002505978,0.00294463,0.007002564
ABS_M11,ABS,0.147051902,0.004566289,0.242965273,0.111619953
ABS_M12,ABS,0.243128487,0.005971521,0.044082389,0.054164942
ABS_M13,ABS,0.16683316,0.004960636,0.174606008,0.108247945
ABS_M14,ABS,0.302776252,0.005100025,0.014390876,0.019001788
ABS_M15,ABS,0.276538549,0.005904912,0.027466904,0.035808422
ABS_M16,ABS,0.294706754,0.005883366,0.018810726,0.024973804
ABS_M17,ABS,0.258249827,0.005963934,0.036266147,0.045817459
ABS_M18,ABS,0.311519425,0.002233625,0.003047042,0.007126053
ABS_M19,ABS,0.300971142,0.005355907,0.015496393,0.020533967
ABS_M20,ABS,0.311550448,0.002259055,0.002941618,0.006993026
ABS_M21,ABS,0.208740891,0.006061978,0.074654501,0.077621039
ABS_M22,ABS,0.16226555,0.004849854,0.19012971,0.10991303
ABS_M23,ABS,0.217359416,0.005883208,0.063924534,0.070813693
ABS_M24,ABS,0.179868876,0.005492548,0.135140113,0.101086108
ABS_M25,ABS,0.200673843,0.00622115,0.087762758,0.084590037
ABS_M26,ABS,0.215784759,0.005977106,0.065668464,0.071997443
ABS_M27,ABS,0.260322296,0.005948699,0.035310868,0.044709426
ABS_M28,ABS,0.269200377,0.00593947,0.031002567,0.039865184
ABS_M29,ABS,0.223168476,0.005824502,0.058087004,0.066615311
ABS_M30,ABS,0.232005629,0.006170936,0.051010529,0.060764847
ABS_M31,ABS,0.205991408,0.006035973,0.078742496,0.079918875
ABS_M32,ABS,0.217726103,0.005896125,0.063502122,0.070552185
ABS_M33,ABS,0.235390511,0.005784034,0.048675262,0.058663602
ABS_M34,ABS,0.19642661,0.005829258,0.095476391,0.087895707
ABS_M35,ABS,0.305111702,0.004613445,0.0126115,0.016674281
ABS_M36,ABS,0.230997732,0.005895673,0.051780232,0.061412174
ABS_M37,ABS,0.289555178,0.005566991,0.021195214,0.028306391
ABS_M38,ABS,0.257985052,0.00590526,0.036393823,0.045940999
ABS_M39,ABS,0.209801574,0.00588018,0.073174525,0.076747853
ABS_M40,ABS,0.285544963,0.005751343,0.023135254,0.030732144
ABS_M41,ABS,0.20536064,0.005891196,0.079664362,0.08035654
ABS_M42,ABS,0.218078106,0.005953051,0.063112208,0.070302955
ABS_M43,ABS,0.302991231,0.005119168,0.014198893,0.018731481
ABS_M44,ABS,0.208846515,0.006110227,0.07470869,0.077663528
ABS_M45,ABS,0.263348985,0.005980524,0.033831079,0.04306969
ABS_M46,ABS,0.249961508,0.006075048,0.040437318,0.050348516
ABS_M47,ABS,0.179026,0.005363422,0.137965733,0.101707141
ABS_M48,ABS,0.239397476,0.00597085,0.046211851,0.056288111
ABS_M49,ABS,0.249187385,0.007368073,0.040833943,0.050837642
ABS_M50,ABS,0.237686813,0.005841344,0.047206718,0.057264413
PE-LD_M01,PE-LD,0.003648659,0.001716178,0.268725612,0.288331012
PE-LD_M02,PE-LD,0.003714752,0.001712172,0.266907371,0.276434485
PE-LD_M03,PE-LD,0.003596316,0.001657099,0.266167507,0.280096245
PE-LD_M04,PE-LD,0.003891161,0.001619736,0.275236302,0.262905829
PE-LD_M05,PE-LD,0.003740143,0.001636241,0.26948381,0.272588064
PE-LD_M06,PE-LD,0.004265296,0.002982311,0.265749171,0.264282083
PE-LD_M07,PE-LD,0.003553778,0.001631972,0.262645813,0.282374113
PE-LD_M08,PE-LD,0.003798239,0.001643846,0.273076752,0.269977063
PE-LD_M09,PE-LD,0.003697233,0.001637359,0.26557823,0.274759868
PE-LD_M10,PE-LD,0.003641303,0.001628261,0.265729717,0.276462148
PE-LD_M11,PE-LD,0.004334786,0.00308635,0.266832618,0.263853149
PE-LD_M12,PE-LD,0.003767473,0.001625136,0.269989712,0.269922268
PE-LD_M13,PE-LD,0.003591877,0.001637107,0.264017697,0.280924299
PE-LD_M14,PE-LD,0.00370569,0.001637782,0.266860788,0.274238377
PE-LD_M15,PE-LD,0.003696442,0.001638392,0.264738683,0.274627054
PE-LD_M16,PE-LD,0.003836979,0.001626203,0.268672745,0.265689032
PE-LD_M17,PE-LD,0.003693467,0.001629144,0.264364881,0.273975442
PE-LD_M18,PE-LD,0.003706764,0.001635349,0.266435435,0.274052954
