,Name,intensity_std,intensity_mean,phase_std,phase_mean,mod_std,mod_mean,phaselifetime_std,phaselifetime_mean,modulationlifetime_std,modulationlifetime_mean
159,PA,0.003226406,0.013788378,10.57283,14.405741,0.17228366,0.7685842,0.58319044,1.432141,1.9101939,4.59647
160,PA,0.003233331,0.01326329,10.859424,13.733558,0.17607558,0.76586705,0.7211306,1.3699703,1.9847724,4.643659
161,PA,0.003250889,0.013650512,10.665248,14.633464,0.17357107,0.7796145,0.76511365,1.4568368,1.9300182,4.4391155
162,PA,0.003229529,0.013110133,11.000856,14.131054,0.17745721,0.7707009,0.53895086,1.4104271,2.001825,4.5761857
163,PA,0.003264998,0.014303554,10.327049,14.291006,0.16916451,0.7743164,0.42888907,1.4170009,1.8731127,4.506051
164,PA,0.003379911,0.01397422,10.494854,14.9158125,0.1705104,0.756291,0.49377665,1.481319,2.0008035,4.780596
165,PA,0.003225426,0.013482112,10.674952,14.184823,0.17816119,0.77812,0.4834925,1.4115807,1.953858,4.472563
166,PA,0.003227067,0.013443527,10.781249,13.733116,0.17426814,0.77235466,0.6332629,1.3688785,1.9596138,4.5449953
167,PA,0.005671015,0.021574333,19.536682,19.10244,0.2851679,0.7213875,0.63023007,2.0904193,2.266957,5.4985433
168,PA,0.005952032,0.023549972,18.562958,20.129034,0.27569,0.7296889,0.65055907,2.1732254,2.1475053,5.352124
169,PA,0.005959304,0.022769269,18.972363,19.86095,0.2868495,0.7526548,0.72551787,2.155605,2.1433895,5.0479646
170,PA,0.005850879,0.022893619,18.856628,20.036356,0.28733966,0.7486733,0.7538616,2.1711385,2.1138318,5.098943
171,PA,0.003349602,0.012931675,11.050771,13.772177,0.17884338,0.769064,0.6780285,1.3763131,2.1245685,4.612584
172,PA,0.003379144,0.01405673,10.330239,14.434303,0.17247525,0.76575005,0.69359165,1.4324219,2.014966,4.6474037
173,PA,0.003348688,0.013966072,10.350099,14.007244,0.1718557,0.7686069,0.5444517,1.3896501,1.9829526,4.6028657
174,PA,0.003328254,0.013685246,10.620787,14.197868,0.1712254,0.7555568,0.6671803,1.4125807,2.045427,4.7918987
175,PA,0.003319074,0.013843495,10.448932,13.339193,0.17000435,0.7624989,0.6445734,1.3256559,1.9839169,4.6858325
176,PC,0.004050449,0.01351016,17.695408,3.6611464,0.32205644,0.91990435,0.85424757,0.56040055,2.0390775,2.9171093
