,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
2316,SAN,0.029076186,0.028199963,0.003398215,1.15E-05,0.002954282,0.078026003,-0.458968197,-0.478017266,0.117021123,0.013693943,0.136516664,1.300757764
2317,SAN,0.028300093,0.027430873,0.003365907,1.13E-05,0.00293597,0.076756394,-0.458793375,-0.478221026,0.118255669,0.013984403,0.137371414,1.308288214
2318,SAN,0.027863282,0.02698529,0.003371777,1.14E-05,0.002948178,0.075914057,-0.457670795,-0.477344099,0.119411067,0.014259003,0.138352741,1.304101079
2319,SAN,0.027497438,0.026612952,0.003371395,1.14E-05,0.002960386,0.076738082,-0.456925766,-0.476865162,0.120383371,0.014492156,0.139230959,1.322249558
2320,SAN,0.027302362,0.026417628,0.003368869,1.13E-05,0.002960386,0.075669902,-0.456488235,-0.476557476,0.120798818,0.014592354,0.139624686,1.327070665
2321,SAN,0.026957175,0.02607581,0.00336757,1.13E-05,0.00296649,0.076078862,-0.455866539,-0.476201654,0.121688902,0.014808189,0.140267274,1.329315501
2322,SAN,0.026714842,0.025837759,0.00334325,1.12E-05,0.002942074,0.074986266,-0.45603877,-0.476396711,0.121827725,0.014841995,0.140243041,1.336149787
2323,SAN,0.026513991,0.025642434,0.003320459,1.10E-05,0.002923762,0.074565098,-0.456899228,-0.477278512,0.121867498,0.014851687,0.14024604,1.337846538
2324,SAN,0.026208295,0.025325032,0.003354189,1.13E-05,0.002960386,0.075273149,-0.454434792,-0.475185205,0.1234239,0.015233459,0.141801075,1.348445841
2325,SAN,0.025971533,0.02508698,0.00335716,1.13E-05,0.00296649,0.075108344,-0.453879112,-0.474827244,0.124177389,0.015420024,0.142494881,1.354689837
2326,SAN,0.025830241,0.024943539,0.003354089,1.12E-05,0.00296649,0.074626137,-0.453122437,-0.474137938,0.124448835,0.015487513,0.14266651,1.350159081
2327,SAN,0.025579417,0.024696332,0.003340373,1.12E-05,0.002948178,0.074461332,-0.453122239,-0.474268414,0.124864958,0.015591258,0.14287529,1.349877506
2328,SAN,0.025384494,0.024501007,0.003325644,1.11E-05,0.002942074,0.073667826,-0.453135967,-0.47427458,0.12506499,0.015641252,0.142999084,1.354988291
2329,SAN,0.025157705,0.024269059,0.003350721,1.12E-05,0.00296649,0.073899774,-0.452174727,-0.473684209,0.126346227,0.015963369,0.14439996,1.368630047
2330,SAN,0.031095313,0.030256974,0.003242993,1.05E-05,0.002874931,0.064951474,-0.461031804,-0.478981651,0.112898787,0.012746136,0.133062568,1.261097083
2331,SAN,0.029584829,0.028724898,0.003267432,1.07E-05,0.002893243,0.064438747,-0.459673448,-0.478433505,0.115758944,0.013400133,0.135286398,1.300318158
2332,SAN,0.028535816,0.027668925,0.003275412,1.07E-05,0.002911555,0.064310566,-0.458314043,-0.477594334,0.117975456,0.013918208,0.13719865,1.304863816
2333,SAN,0.027881142,0.027009705,0.003281095,1.08E-05,0.002911555,0.063968748,-0.457194961,-0.476855267,0.119416702,0.014260349,0.138428797,1.321984083
2334,SAN,0.02752277,0.02665568,0.003256316,1.06E-05,0.002887139,0.063401086,-0.457280329,-0.477038424,0.119696412,0.014327231,0.138477549,1.324600032
2335,SAN,0.027278945,0.026411524,0.003250753,1.06E-05,0.002881035,0.063083684,-0.457245832,-0.477091632,0.120114275,0.014427439,0.1387313,1.331901821
2336,SAN,0.027031576,0.026161265,0.003266443,1.07E-05,0.002899347,0.073441983,-0.456339961,-0.476445137,0.120941447,0.014626834,0.13952312,1.328954288
2337,SAN,0.026422671,0.025544772,0.003291296,1.08E-05,0.002917659,0.063675761,-0.454305152,-0.474866051,0.122886507,0.015101094,0.141243585,1.356467574
2338,SAN,0.026032385,0.025148019,0.003294213,1.09E-05,0.002929866,0.063724593,-0.45370855,-0.474535934,0.123903388,0.015352049,0.142312227,1.356153879
2339,SAN,0.025795973,0.024916072,0.003281827,1.08E-05,0.002917659,0.063413294,-0.453605857,-0.47448711,0.124189083,0.015422928,0.142359398,1.351159832
2340,SAN,0.025566735,0.024684124,0.003280403,1.08E-05,0.002917659,0.062863944,-0.453087982,-0.474190975,0.124740152,0.015560106,0.142814152,1.359990235
2341,SAN,0.025371701,0.024488799,0.003292335,1.08E-05,0.002923762,0.063559788,-0.45224275,-0.4735721,0.125440292,0.015735267,0.143494734,1.368437948
2342,SAN,0.025189562,0.024299579,0.003298009,1.09E-05,0.002929866,0.063419398,-0.45192655,-0.473349259,0.12607512,0.015894936,0.144019764,1.37228715
2343,SAN,0.024912112,0.024024904,0.003302507,1.09E-05,0.00293597,0.063358359,-0.450965801,-0.472575904,0.126885332,0.016099887,0.144715144,1.368414728
2344,SAN,0.024710843,0.023823476,0.003301529,1.09E-05,0.00293597,0.063681865,-0.450318727,-0.472055886,0.127448593,0.016243144,0.145429504,1.373666988
2345,SAN,0.02451735,0.023634255,0.003276203,1.07E-05,0.002911555,0.062986022,-0.450808539,-0.472559213,0.127385995,0.016227192,0.145124899,1.371840425
2346,SAN,0.024428935,0.023542697,0.003283701,1.08E-05,0.002917659,0.063132515,-0.450333844,-0.472215375,0.127836554,0.016342184,0.145515277,1.377550633
2347,SAN,0.024351277,0.023463346,0.00329723,1.09E-05,0.002929866,0.063449918,-0.449873264,-0.471916298,0.128374677,0.016480058,0.146050251,1.390614638
2348,SAN,0.024270779,0.023377892,0.003305254,1.09E-05,0.002942074,0.06332784,-0.449330296,-0.471380906,0.128755393,0.016577951,0.146554318,1.398399559
2349,SAN,0.024173907,0.02328023,0.003308544,1.09E-05,0.002948178,0.064188488,-0.448427137,-0.470543046,0.129109716,0.016669319,0.14685961,1.384153009
2350,SAN,0.033499683,0.032796191,0.003353133,1.12E-05,0.003021425,0.06692303,-0.456511606,-0.473460349,0.109312029,0.01194912,0.13040155,1.221500116
2351,SAN,0.028369452,0.027528536,0.003280144,1.08E-05,0.002948178,0.063248489,-0.461544603,-0.480667584,0.116978862,0.013684054,0.135739624,1.329463935
2352,SAN,0.028126516,0.027266068,0.003331386,1.11E-05,0.002990905,0.064658487,-0.459104469,-0.478584722,0.118631423,0.014073415,0.137526537,1.335200657
2353,SAN,0.027825584,0.026960874,0.003335007,1.11E-05,0.002997009,0.063950436,-0.458345413,-0.478081261,0.119468532,0.01427273,0.138315804,1.33824116
2354,SAN,0.027570956,0.026710615,0.00333687,1.11E-05,0.002997009,0.064292254,-0.457847971,-0.477775134,0.12008438,0.014420258,0.138800208,1.335469173
2355,SAN,0.027316355,0.026448147,0.003338137,1.11E-05,0.002997009,0.064194592,-0.45717761,-0.477198353,0.120785281,0.014589084,0.139475278,1.331599464
2356,SAN,0.027096297,0.026228407,0.00333996,1.12E-05,0.002997009,0.063645242,-0.456494131,-0.476631092,0.121345965,0.014724843,0.139953457,1.35149725
2357,SAN,0.0268459,0.025972044,0.00334006,1.12E-05,0.003003113,0.062863944,-0.455737584,-0.476042023,0.121982923,0.014879833,0.140570057,1.346831188
2358,SAN,0.026650737,0.02577672,0.003341198,1.12E-05,0.003003113,0.063962644,-0.455803326,-0.476281742,0.122520319,0.015011229,0.14103601,1.356554752
2359,SAN,0.025949474,0.025080877,0.003312519,1.10E-05,0.002972594,0.062589269,-0.454999471,-0.475894244,0.123719075,0.015306409,0.141935513,1.36432977
2360,SAN,0.025789464,0.024916072,0.00332987,1.11E-05,0.002990905,0.063419398,-0.45402915,-0.47505373,0.12452116,0.015505519,0.142740285,1.368311879
2361,SAN,0.025645131,0.024769578,0.003337282,1.11E-05,0.003003113,0.063608619,-0.453480955,-0.474681912,0.125072815,0.015643209,0.143221363,1.366978618
2362,SAN,0.025485959,0.024604773,0.003337807,1.11E-05,0.003003113,0.063303424,-0.453251615,-0.474498894,0.125550034,0.015762811,0.143753629,1.371755907
2363,SAN,0.025378897,0.024501007,0.003336235,1.11E-05,0.002997009,0.063584203,-0.452694972,-0.47403773,0.125800797,0.01582584,0.143987486,1.376934394
2364,SAN,0.025260041,0.024378929,0.003339402,1.12E-05,0.003003113,0.063248489,-0.452522778,-0.473950428,0.126182986,0.015922146,0.144228014,1.386032986
2365,SAN,0.025133462,0.024256852,0.003326064,1.11E-05,0.002978697,0.062992126,-0.45242166,-0.473843057,0.126260483,0.01594171,0.144213827,1.383237739
