,polymer,x_bar(ni),M(ni),std(ni),variance(ni),iqr(ni),R(ni),x_bar(nid),M(nid),std(nid),variance(nid),iqr(nid),R(nid)
177,PU,0.03412743,0.03316128,0.004305112,1.85E-05,0.003853079,0.089364738,-0.428595781,-0.447945975,0.119951433,0.014388346,0.135905129,1.340245816
178,PU,0.031063852,0.030099799,0.004453076,1.98E-05,0.003757706,0.095506775,-0.418734339,-0.439658026,0.126786637,0.016074851,0.142369668,1.393197914
179,PU,0.040192075,0.03929378,0.004287126,1.84E-05,0.003881691,0.091110068,-0.441193023,-0.458276332,0.110636032,0.012240331,0.128286366,1.260266051
180,ABS,0.146392454,0.145778017,0.004565429,2.08E-05,0.004177348,0.12390893,-0.256455181,-0.262026563,0.113396971,0.012858873,0.157495052,0.981921525
181,ABS,0.239372559,0.238890924,0.005980654,3.58E-05,0.006323247,0.157642449,-0.019371457,-0.017837191,0.056546247,0.003197478,0.073843708,0.720965397
182,ABS,0.16558343,0.164909891,0.004942483,2.44E-05,0.004425319,0.160570408,-0.184717636,-0.185440733,0.11019573,0.012143099,0.155371972,0.919213346
183,ABS,0.297781227,0.297793444,0.005533538,3.06E-05,0.006943173,0.122688152,-0.000827373,-0.00030009,0.022954253,0.000526898,0.025899682,0.541282755
184,ABS,0.271727347,0.271308292,0.005913761,3.50E-05,0.006771501,0.137375633,-0.004794109,-0.004480609,0.038455111,0.001478796,0.046923415,0.595403619
185,ABS,0.28866993,0.288971419,0.006037864,3.65E-05,0.006504456,0.127351904,-0.001914756,-0.001000017,0.028863303,0.00083309,0.032974126,0.56657817
186,ABS,0.253852592,0.253387658,0.005933917,3.52E-05,0.006494919,0.148934872,-0.010533057,-0.009783408,0.048285505,0.00233149,0.061977665,0.653667076
187,ABS,0.311544688,0.3125,0.002264897,5.13E-06,0.000762986,0.088906946,-0.000143319,0,0.007017645,4.92E-05,0,0.366608918
188,ABS,0.294961452,0.294951321,0.00575196,3.31E-05,0.00709577,0.125778246,-0.001095554,-0.000619235,0.024909118,0.000620464,0.027655561,0.548333585
189,ABS,0.311566157,0.3125,0.002305612,5.32E-06,0.00067715,0.091968428,-0.000133195,0,0.006923045,4.79E-05,0,0.391706668
